created_at,id,retweeted_status.created_at,retweeted_status.id,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.id,retweeted_status.user.screen_name,text,user.followers_count,user.friends_count,user.id,user.screen_name
Tue Nov 08 13:17:33 +0000 2016,795978567352025088,,,,,,,,Who did you vote for? Please RT #ElectionDay #Election2016 #myvote2016 #vote2016 #voted,62,415,109033108,ryanmcnichols
Tue Nov 08 13:18:02 +0000 2016,795978689074921472,Tue Nov 08 13:17:33 +0000 2016,795978567352025088,1,62,415,109033108,ryanmcnichols,RT @ryanmcnichols: Who did you vote for? Please RT #ElectionDay #Election2016 #myvote2016 #vote2016 #voted,182,106,759613340343730176,Yoy12Pty
Tue Nov 08 13:19:28 +0000 2016,795979049466298369,Tue Nov 08 13:17:33 +0000 2016,795978567352025088,3,62,415,109033108,ryanmcnichols,RT @ryanmcnichols: Who did you vote for? Please RT #ElectionDay #Election2016 #myvote2016 #vote2016 #voted,211,232,459871148,sHES_sO_cOLD
Tue Nov 08 13:19:35 +0000 2016,795979077056339968,Tue Nov 08 13:17:33 +0000 2016,795978567352025088,4,62,415,109033108,ryanmcnichols,RT @ryanmcnichols: Who did you vote for? Please RT #ElectionDay #Election2016 #myvote2016 #vote2016 #voted,24,88,734497653308960769,chunkandclem
Tue Nov 08 13:20:14 +0000 2016,795979241942908932,Tue Nov 08 13:17:33 +0000 2016,795978567352025088,5,63,415,109033108,ryanmcnichols,RT @ryanmcnichols: Who did you vote for? Please RT #ElectionDay #Election2016 #myvote2016 #vote2016 #voted,354,193,583501728,Josh_Hasnem
Tue Nov 08 13:20:24 +0000 2016,795979284129017857,Tue Nov 08 13:17:33 +0000 2016,795978567352025088,6,63,415,109033108,ryanmcnichols,RT @ryanmcnichols: Who did you vote for? Please RT #ElectionDay #Election2016 #myvote2016 #vote2016 #voted,31,149,792695616145022976,trey_gowdy_2020
Tue Nov 08 13:20:24 +0000 2016,795979285135851520,Tue Nov 08 13:17:33 +0000 2016,795978567352025088,7,63,415,109033108,ryanmcnichols,RT @ryanmcnichols: Who did you vote for? Please RT #ElectionDay #Election2016 #myvote2016 #vote2016 #voted,550,445,378123228,dimoo_j
Tue Nov 08 13:20:34 +0000 2016,795979326474682368,Tue Nov 08 13:17:33 +0000 2016,795978567352025088,8,63,415,109033108,ryanmcnichols,RT @ryanmcnichols: Who did you vote for? Please RT #ElectionDay #Election2016 #myvote2016 #vote2016 #voted,4407,3878,48866739,elvisinoregon
Tue Nov 08 13:20:36 +0000 2016,795979336125911040,Tue Nov 08 13:17:33 +0000 2016,795978567352025088,9,63,415,109033108,ryanmcnichols,RT @ryanmcnichols: Who did you vote for? Please RT #ElectionDay #Election2016 #myvote2016 #vote2016 #voted,7061,6405,235817656,LEFTH00K
Tue Nov 08 13:20:44 +0000 2016,795979368694738944,Tue Nov 08 13:17:33 +0000 2016,795978567352025088,10,63,415,109033108,ryanmcnichols,RT @ryanmcnichols: Who did you vote for? Please RT #ElectionDay #Election2016 #myvote2016 #vote2016 #voted,324,188,3886967538,nereidaortiz11
Tue Nov 08 13:21:03 +0000 2016,795979446255833088,Tue Nov 08 13:17:33 +0000 2016,795978567352025088,11,63,415,109033108,ryanmcnichols,RT @ryanmcnichols: Who did you vote for? Please RT #ElectionDay #Election2016 #myvote2016 #vote2016 #voted,278,368,305980209,Kwilson474
Tue Nov 08 13:21:07 +0000 2016,795979464941469700,Tue Nov 08 13:17:33 +0000 2016,795978567352025088,12,63,415,109033108,ryanmcnichols,RT @ryanmcnichols: Who did you vote for? Please RT #ElectionDay #Election2016 #myvote2016 #vote2016 #voted,2100,4166,2369205487,RockNHot1
Tue Nov 08 13:21:10 +0000 2016,795979478195388416,Tue Nov 08 13:17:33 +0000 2016,795978567352025088,13,63,415,109033108,ryanmcnichols,RT @ryanmcnichols: Who did you vote for? Please RT #ElectionDay #Election2016 #myvote2016 #vote2016 #voted,112,103,769156019125563392,333pippi
