created_at,id,retweeted_status.created_at,retweeted_status.id,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.id,text,user.followers_count,user.friends_count,user.id,user.screen_name
Tue Nov 08 19:50:11 +0000 2016,796077375771578368,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,70,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,611,467,3036808515,LittyNelly
Tue Nov 08 19:50:12 +0000 2016,796077381287022592,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,71,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,265,553,4863650373,Beatriz_M_2212
Tue Nov 08 19:50:18 +0000 2016,796077406276689920,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,74,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,290,88,4886662713,YassssBitchhh
Tue Nov 08 19:50:23 +0000 2016,796077427004964864,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,79,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,956,357,3959199251,marmitel0ver
Tue Nov 08 19:50:24 +0000 2016,796077431337680896,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,80,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1482,651,214550269,almightyell
Tue Nov 08 19:50:32 +0000 2016,796077465127022592,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,82,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1259,200,2190023992,GianniArman
Tue Nov 08 19:50:32 +0000 2016,796077465538007041,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,82,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,233,35,761532235312992258,hughiefans
Tue Nov 08 19:50:41 +0000 2016,796077502720569344,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,87,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,540,158,548760240,lleahmonique
Tue Nov 08 19:50:55 +0000 2016,796077562439041026,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,93,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,4911,593,2748332945,Shamiso_
Tue Nov 08 19:51:07 +0000 2016,796077611688587269,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,101,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,511,374,545857669,stylesuck3r
Tue Nov 08 19:51:12 +0000 2016,796077633352138752,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,102,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,152,96,375553580,T_demeester
Tue Nov 08 19:51:15 +0000 2016,796077644836126720,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,106,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1623,1889,731275771,harry_girl_13
Tue Nov 08 19:51:16 +0000 2016,796077649323884544,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,109,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,417,703,4672482145,laelailays
Tue Nov 08 19:51:16 +0000 2016,796077650645106688,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,110,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,666,354,573842387,mikaelarhansen
Tue Nov 08 19:51:27 +0000 2016,796077695637618688,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,115,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,143,244,25859092,recitaldepeter
Tue Nov 08 19:51:33 +0000 2016,796077721231171585,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,123,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,610,307,2205552050,bmrn27
Tue Nov 08 19:51:34 +0000 2016,796077722124435456,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,123,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1300,799,191182336,_KingDe
Tue Nov 08 19:51:34 +0000 2016,796077724905406464,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,125,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1278,997,386611096,smartblackboy
Tue Nov 08 19:51:40 +0000 2016,796077750603743232,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,130,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,765,438,770775492,localpuke
Tue Nov 08 19:51:46 +0000 2016,796077776256303104,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,135,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,432,188,383258632,sinasipho
Tue Nov 08 19:51:47 +0000 2016,796077776642117632,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,135,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,144,233,921557983,vikfenty
Tue Nov 08 19:51:50 +0000 2016,796077792580476928,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,137,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1661,291,62091942,wildfirebello
Tue Nov 08 19:51:51 +0000 2016,796077796141531136,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,138,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,206,390,180479413,nbashev
Tue Nov 08 19:51:55 +0000 2016,796077812478308352,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,143,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1228,597,48336952,Priyanka101
Tue Nov 08 19:51:55 +0000 2016,796077812688031745,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,143,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1131,1025,98792443,Davey4Life
Tue Nov 08 19:52:02 +0000 2016,796077841385455616,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,149,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1173,2102,238301794,aeliciaaa_
Tue Nov 08 19:52:02 +0000 2016,796077842748448768,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,150,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,363,269,129538638,vijittyadav
Tue Nov 08 19:52:03 +0000 2016,796077846066266112,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,151,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,109,234,4165227732,crollmiller
Tue Nov 08 19:52:10 +0000 2016,796077876928020480,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,157,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1270,741,145854385,0zee_
Tue Nov 08 19:52:21 +0000 2016,796077921412804608,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,162,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,481,987,82442819,lydslovescorgis
Tue Nov 08 19:52:25 +0000 2016,796077938483593216,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,166,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,836,627,24156130,magnisk
Tue Nov 08 19:52:33 +0000 2016,796077973090627584,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,172,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1782,29,2918904661,FentyPics_
Tue Nov 08 19:52:34 +0000 2016,796077976299442180,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,173,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1132,1753,3177037382,kashmoneykamri
Tue Nov 08 19:52:38 +0000 2016,796077993034661888,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,174,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,24125,269,1045750026,antogriezmvnn
Tue Nov 08 19:52:39 +0000 2016,796077996914393088,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,175,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,213,36,79034142,jmlopes2
Tue Nov 08 19:52:43 +0000 2016,796078014962372612,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,179,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,69,134,20401301,lizefanie
Tue Nov 08 19:52:43 +0000 2016,796078014744428544,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,179,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,875,432,350255992,strange_mercyy
Tue Nov 08 19:52:44 +0000 2016,796078018464743424,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,181,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,724,870,4249883069,btwmami
Tue Nov 08 19:52:55 +0000 2016,796078065210232833,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,186,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,5234,327,30101773,jaredsrih
Tue Nov 08 19:52:58 +0000 2016,796078076379758592,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,191,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,632,1149,29369874,ayeerehcs
Tue Nov 08 19:52:59 +0000 2016,796078081786126336,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,193,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,2661,542,35702960,melbatoastmarie
Tue Nov 08 19:53:01 +0000 2016,796078089247883264,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,195,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1053,473,2201993048,_baddgalbri
Tue Nov 08 19:53:03 +0000 2016,796078098135519232,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,196,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,6181,4032,767187312933539840,cutelilbish
Tue Nov 08 19:53:08 +0000 2016,796078119287406593,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,199,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1074,844,611533179,lexisanamariee
Tue Nov 08 19:53:08 +0000 2016,796078119505559555,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,199,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,90,117,3406051235,sheeran_el
Tue Nov 08 19:53:10 +0000 2016,796078127441133568,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,201,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1169,1390,62221401,FireAndAysh
Tue Nov 08 19:53:14 +0000 2016,796078145396965377,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,204,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,5978,4110,753838436,Broom__Stick
Tue Nov 08 19:53:26 +0000 2016,796078194419961856,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,212,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,41,141,764289413639725056,xxSteffanixx
Tue Nov 08 19:53:26 +0000 2016,796078195359490048,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,214,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,144,479,1079783112,WithRih
Tue Nov 08 19:53:30 +0000 2016,796078211524243456,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,218,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,656,570,3306372798,marinaxguerra
Tue Nov 08 19:53:30 +0000 2016,796078211088183296,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,218,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,4823,303,1405935373,aceofpaynes
Tue Nov 08 19:53:35 +0000 2016,796078232491753479,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,224,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,339,191,70777377,xoRosee_
Tue Nov 08 19:53:37 +0000 2016,796078241069072385,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,225,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,2706,125,191889499,candace2lit
Tue Nov 08 19:53:40 +0000 2016,796078253555453952,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,231,14942,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,264,1285,104355076,brainpr
Tue Nov 08 19:53:52 +0000 2016,796078304625299457,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,239,14943,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,2346,961,22166610,kuntkevin
Tue Nov 08 19:53:52 +0000 2016,796078304352727040,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,239,14943,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,21411,797,766131848,normanisbeyonce
Tue Nov 08 19:54:00 +0000 2016,796078337420455937,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,246,14943,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,4141,885,944918460,yungvtrilla
