,Time Difference,user.screen_name
1402,0 days 00:02:06.000000000,furbykid
1422,0 days 00:02:09.000000000,Manoletes
1435,0 days 00:02:11.000000000,eldin498
1473,0 days 00:02:18.000000000,Swaxe_Games
1490,0 days 00:02:20.000000000,jakemut1998
1496,0 days 00:02:21.000000000,rodvelazquezpa
1497,0 days 00:02:21.000000000,R_Y_O_M_V
1499,0 days 00:02:21.000000000,ywxwy
1501,0 days 00:02:21.000000000,harshitagarwal_
1502,0 days 00:02:21.000000000,rj_goyal01
1520,0 days 00:02:23.000000000,NayemAsif
1521,0 days 00:02:23.000000000,ichbinslucas
1530,0 days 00:02:25.000000000,wuxian152
1546,0 days 00:02:27.000000000,marickvantuil
1556,0 days 00:02:28.000000000,thepunkyrabbid
1571,0 days 00:02:31.000000000,evan00012
1603,0 days 00:02:35.000000000,Os21Scar
1608,0 days 00:02:36.000000000,Tenderspot
1634,0 days 00:02:41.000000000,mfj409
1646,0 days 00:02:42.000000000,manoj_kathare
1666,0 days 00:02:44.000000000,mikecrabb
1668,0 days 00:02:44.000000000,nick2230
1677,0 days 00:02:45.000000000,Marikensei
1703,0 days 00:02:49.000000000,Josh_431
1713,0 days 00:02:51.000000000,alfuki
1724,0 days 00:02:53.000000000,ikova47
1737,0 days 00:02:56.000000000,lenhat_tnut
1740,0 days 00:02:57.000000000,mrana742
1744,0 days 00:02:58.000000000,xxchemistryxx
1751,0 days 00:02:58.000000000,Nachomend
1757,0 days 00:03:00.000000000,TypicalNikhil
1764,0 days 00:03:01.000000000,supabaz
1766,0 days 00:03:01.000000000,minmkim
1797,0 days 00:03:04.000000000,MrTwoogle
1803,0 days 00:03:05.000000000,hzrd__
1810,0 days 00:03:06.000000000,HeinioSami
1825,0 days 00:03:08.000000000,Michael18937319
1841,0 days 00:03:10.000000000,JeanBlaguinH
1847,0 days 00:03:11.000000000,VRA010
1855,0 days 00:03:12.000000000,fi6o
1872,0 days 00:03:15.000000000,chrismsandberg
1873,0 days 00:03:15.000000000,albertmercaplas
1876,0 days 00:03:16.000000000,M_longhurst
1888,0 days 00:03:19.000000000,DarrenPMMoloney
1904,0 days 00:03:22.000000000,TonyCowell666
1910,0 days 00:03:23.000000000,RyanNZ16
1927,0 days 00:03:25.000000000,Kingmann22
1948,0 days 00:03:28.000000000,Wincento89
1972,0 days 00:03:32.000000000,A_Blagodatskih
1981,0 days 00:03:34.000000000,keith_farrar
1992,0 days 00:03:35.000000000,ORYANFILMS
1998,0 days 00:03:36.000000000,Jack91Walsh
2000,0 days 00:03:37.000000000,Reymond_H2016
2005,0 days 00:03:38.000000000,teh_pedestrian
2008,0 days 00:03:38.000000000,Ata_Utku_Orhan
2009,0 days 00:03:38.000000000,brett014
2018,0 days 00:03:41.000000000,JuanGarciG
2041,0 days 00:03:45.000000000,niall_john
2080,0 days 00:03:52.000000000,MelLhp
