,user_id,cap,content_score,friend_score,network_score,sentiment_score,english_score,universal_score
0,29873662,0.0016427961109141277,0.3,0.5,0.4,0.3,0.027677698437753848,0.023518771605329593
1,2649071509,0.0023079208238384373,0.2,0.4,0.5,0.4,0.05780718298413593,0.04811366570775446
2,2654605189.0,,,,,,,
3,1114306256,0.003626193494014071,3.4,1.0,0.6,1.6,0.06263387811083082,0.0825396626774012
4,1740688765,0.0023079208238384373,0.2,0.8,0.5,0.4,0.04178983547133819,0.04811366570775446
5,520626401,0.0017440333583248883,1.7,0.3,1.9,0.8,0.03546593341354506,0.027614042942260764
6,21545132,0.0024313661894161103,1.7,0.6,0.6,1.3,0.07945465272791494,0.05202936550695904
7,3171207181.0,,,,,,,
8,3054363644,0.0021984408773070953,0.2,0.5,0.4,0.3,0.04178983547133819,0.04447883217419818
9,2396809098,0.0018655051726169808,0.8,0.4,1.3,0.7,0.01983296694956421,0.032398754737074244
10,3396373683,0.0027296301902785666,3.6,0.8,2.6,3.4,0.12588928944948308,0.06078011352084069
11,330531602.0,,,,,,,
12,709490390,0.0033536770167744536,0.2,0.3,0.4,0.2,0.038503444945083086,0.07651310672792835
13,594396879,0.0018655051726169808,0.9,0.5,2.8,0.9,0.025471598156045747,0.032398754737074244
14,15863810,0.0027296301902785666,0.7,0.9,0.9,0.8,0.05333128056896264,0.06078011352084069
15,526983397.0,,,,,,,
16,2970946161,0.0023079208238384373,0.3,0.4,1.1,0.4,0.04178983547133819,0.04811366570775446
17,483836124,0.009037049400998034,1.5,0.5,1.2,2.8,0.28621206238390096,0.15881746424200632
18,109637150,0.05430460982015838,3.4,1.7,3.9,3.9,0.22180647190550215,0.393746460000491
19,7.755181270273475e+17,,,,,,,
20,3318080572,0.0021984408773070953,1.8,1.2,1.5,2.6,0.04918384795249982,0.04447883217419818
21,2674520443,0.0019358455432931132,0.3,0.3,0.4,0.3,0.03546593341354506,0.03508264339315584
22,2863809629,0.008048111281043234,4.5,0.7,1.4,4.0,0.05780718298413593,0.14812070832967303
23,3346349063,0.030450444848239933,3.0,0.9,1.1,3.6,0.07945465272791494,0.300816711527256
24,2417018672.0,,,,,,,
25,706271336537063424,0.0020139366550120737,0.8,0.4,0.5,2.2,0.03265990956683609,0.037980136466376074
26,2575503668,0.002571043998532308,0.5,0.8,0.3,0.7,0.03546593341354506,0.05624491210051878
27,214451457,0.0018655051726169808,0.6,0.4,0.3,1.5,0.05780718298413593,0.032398754737074244
28,3448590199,0.005213309669283597,2.2,0.5,0.6,3.0,0.15685510336103622,0.11116719108518804
29,27552454.0,,,,,,,
30,171401662,0.0020139366550120737,0.5,0.4,0.7,1.1,0.03546593341354506,0.037980136466376074
31,193481432,0.0024313661894161103,0.7,0.9,1.3,1.1,0.09286695366967546,0.05202936550695904
32,207764565,0.002571043998532308,0.3,0.4,0.7,0.4,0.04178983547133819,0.05624491210051878
33,147197738,0.007183846426565749,2.2,0.8,1.2,3.0,0.07945465272791494,0.13802618960216584
34,110592708,0.012907437350993261,3.4,0.7,0.6,2.0,0.3412193545017134,0.19466773728450495
35,795415853340626944,0.0027296301902785666,0.5,0.5,0.8,0.7,0.07945465272791494,0.06078011352084069
36,15863810,0.0027296301902785666,0.7,0.9,0.9,0.8,0.05333128056896264,0.06078011352084069
37,35125309,0.0018655051726169808,0.6,0.3,0.7,1.6,0.023437100509770627,0.032398754737074244
38,312845307,0.008048111281043234,0.4,1.5,1.2,0.7,0.06263387811083082,0.14812070832967303
39,389763064,0.0021984408773070953,0.7,1.1,0.5,0.4,0.030068974042493608,0.04447883217419818
40,59527647,0.0018655051726169808,1.4,0.4,1.0,1.8,0.03546593341354506,0.032398754737074244
41,628516922,0.0029102973297387607,1.1,0.9,1.4,0.5,0.04178983547133819,0.06565556198004287
42,7.09486484315906e+17,,,,,,,
