,Time Difference,user.screen_name
1051,0 days 00:01:23.000000000,BenMcKy
1080,0 days 00:01:26.000000000,DaisraT
1081,0 days 00:01:27.000000000,john_iden
1086,0 days 00:01:27.000000000,pcarney16
1090,0 days 00:01:27.000000000,madhusurapaneni
1093,0 days 00:01:28.000000000,treythetrapper
1095,0 days 00:01:28.000000000,TheRealFah
1099,0 days 00:01:29.000000000,Mental_Burnout
1105,0 days 00:01:29.000000000,Light_SF
1119,0 days 00:01:30.000000000,alexharvey_14
1123,0 days 00:01:31.000000000,akaAwesome22
1124,0 days 00:01:31.000000000,thebetterhector
1131,0 days 00:01:32.000000000,TommyT53
1133,0 days 00:01:32.000000000,andr3reis
1138,0 days 00:01:32.000000000,caspar18157080
1139,0 days 00:01:33.000000000,cubskru
1148,0 days 00:01:34.000000000,miniDino99
1151,0 days 00:01:34.000000000,patriciacanete
1172,0 days 00:01:38.000000000,clementjack15
1174,0 days 00:01:38.000000000,Hannibalsoares
1180,0 days 00:01:39.000000000,DaemenThijs
1193,0 days 00:01:39.000000000,2DxHeart
1197,0 days 00:01:40.000000000,TendoMoments
1200,0 days 00:01:41.000000000,manuelps735
1210,0 days 00:01:42.000000000,kusmog
1213,0 days 00:01:42.000000000,d_artelle
1222,0 days 00:01:43.000000000,MKR1610
1244,0 days 00:01:46.000000000,gmojason
1249,0 days 00:01:47.000000000,raulitogamboa
1254,0 days 00:01:48.000000000,JoakimSass
1258,0 days 00:01:48.000000000,tito_zamarron
1272,0 days 00:01:49.000000000,T_PH_R
1281,0 days 00:01:50.000000000,Arlannnnnnnnn
1308,0 days 00:01:53.000000000,nikhillalloo
1309,0 days 00:01:53.000000000,SenorThrottles
1312,0 days 00:01:53.000000000,rokeluk
1324,0 days 00:01:55.000000000,HirshShah
1325,0 days 00:01:55.000000000,MaSmooth
1335,0 days 00:01:56.000000000,iamisaactorres
1348,0 days 00:01:57.000000000,sejerobb
1351,0 days 00:01:58.000000000,alanharborne
1353,0 days 00:01:58.000000000,damianiqe
1354,0 days 00:01:58.000000000,LKTRLDN
1360,0 days 00:01:59.000000000,Albertward
1369,0 days 00:02:00.000000000,SimmonsJadarius
1383,0 days 00:02:03.000000000,ShakirLeko
1385,0 days 00:02:03.000000000,siddhanthsohal
1394,0 days 00:02:04.000000000,eraygular
1396,0 days 00:02:04.000000000,thequietpirate
1403,0 days 00:02:06.000000000,realtusharkumar
1405,0 days 00:02:06.000000000,UmaroRoger
1414,0 days 00:02:08.000000000,Mattx125
1421,0 days 00:02:09.000000000,bilal_heyy
1439,0 days 00:02:12.000000000,dleekim
1456,0 days 00:02:15.000000000,tbickham98
1459,0 days 00:02:15.000000000,ryan_huynh91
1463,0 days 00:02:16.000000000,asyellajosyula
1492,0 days 00:02:20.000000000,merlinkruse
1498,0 days 00:02:21.000000000,Jnstiu
1508,0 days 00:02:22.000000000,taojrah
1509,0 days 00:02:22.000000000,tobiaspaulsen
1518,0 days 00:02:23.000000000,4m_Bhargav
1534,0 days 00:02:25.000000000,alexandergalav4
1537,0 days 00:02:26.000000000,Damion30014
1538,0 days 00:02:26.000000000,Leinoto_12
1575,0 days 00:02:31.000000000,ferropenico
1580,0 days 00:02:32.000000000,iamdrewbaker
1643,0 days 00:02:42.000000000,ripeCarrots
1644,0 days 00:02:42.000000000,drew_powers_
1649,0 days 00:02:42.000000000,devanshr
1660,0 days 00:02:43.000000000,JohannesGuitar
1662,0 days 00:02:44.000000000,virtualmoritz
1663,0 days 00:02:44.000000000,Ohh_Triv
1684,0 days 00:02:46.000000000,Kkbricx
1694,0 days 00:02:48.000000000,blabberwhore
1695,0 days 00:02:48.000000000,NoahMistry
1701,0 days 00:02:49.000000000,alan777montes
1704,0 days 00:02:49.000000000,hempanicker
1707,0 days 00:02:50.000000000,stoogemcclassy
1709,0 days 00:02:50.000000000,Ertavarez
1711,0 days 00:02:51.000000000,zachbs
1712,0 days 00:02:51.000000000,ArthurZhou
1715,0 days 00:02:52.000000000,the_abhi_singh_
1716,0 days 00:02:52.000000000,AstroGabba
1736,0 days 00:02:56.000000000,Laocoon_Weeps
1750,0 days 00:02:58.000000000,Sagar_Patel21
1755,0 days 00:02:59.000000000,josedoruelo
1756,0 days 00:02:59.000000000,philippwehlen
1760,0 days 00:03:01.000000000,sahilsatralkar
1768,0 days 00:03:01.000000000,Richiee_16
1769,0 days 00:03:01.000000000,1Caiyne
1775,0 days 00:03:02.000000000,mcsochistic
1783,0 days 00:03:02.000000000,umitaslan
1788,0 days 00:03:03.000000000,s_vecchi11
1790,0 days 00:03:03.000000000,MiiguelRafael
1798,0 days 00:03:04.000000000,suprcrisbackup
1802,0 days 00:03:05.000000000,ChrisMerenu
1815,0 days 00:03:07.000000000,zerspielt
1819,0 days 00:03:07.000000000,Jakiath
1830,0 days 00:03:08.000000000,TaiwoGeorge_
1832,0 days 00:03:09.000000000,AdrienBeslier
1836,0 days 00:03:09.000000000,headriclamar
1838,0 days 00:03:09.000000000,shaydarsh
1840,0 days 00:03:10.000000000,mattlukcphotos
1845,0 days 00:03:11.000000000,TommyHaiLe
1850,0 days 00:03:12.000000000,an0op
1853,0 days 00:03:11.000000000,noahleets
1857,0 days 00:03:13.000000000,jorgealonso107
1875,0 days 00:03:15.000000000,itsfeleps
1880,0 days 00:03:17.000000000,moodtk4
1881,0 days 00:03:18.000000000,TheBrodyLathem
1882,0 days 00:03:18.000000000,user9128
1887,0 days 00:03:19.000000000,Grizzpyx
1892,0 days 00:03:20.000000000,FMIA360
1893,0 days 00:03:20.000000000,abhi8_khanna
1897,0 days 00:03:21.000000000,mrdoyle1111
1899,0 days 00:03:21.000000000,joaquinryesn
1906,0 days 00:03:22.000000000,adamekevin3
1911,0 days 00:03:23.000000000,JChychrun
1923,0 days 00:03:24.000000000,josepmadrigal
1925,0 days 00:03:25.000000000,NicolaTrinca
1931,0 days 00:03:25.000000000,NawalJAhmed
1933,0 days 00:03:26.000000000,adamekevin3
1936,0 days 00:03:26.000000000,TowerinthePark
1937,0 days 00:03:27.000000000,MasonsTech1
1940,0 days 00:03:27.000000000,fogun_
1942,0 days 00:03:28.000000000,bigga_carter
1956,0 days 00:03:29.000000000,jossue__
1957,0 days 00:03:29.000000000,Leoking938
1962,0 days 00:03:30.000000000,nicktendo
1964,0 days 00:03:31.000000000,HoeRak
1983,0 days 00:03:34.000000000,princehz26
1984,0 days 00:03:34.000000000,MustafaFaisal10
1986,0 days 00:03:35.000000000,JackersJoeri
1989,0 days 00:03:35.000000000,EvanMBrook
1991,0 days 00:03:35.000000000,gujralajit
1994,0 days 00:03:35.000000000,The_Great64
1997,0 days 00:03:36.000000000,hekknik
1999,0 days 00:03:36.000000000,SupTifff
2004,0 days 00:03:38.000000000,abhijeets023
2012,0 days 00:03:40.000000000,DannWilliss
2014,0 days 00:03:40.000000000,STONER_BONER412
2016,0 days 00:03:41.000000000,spidelovesafc
2023,0 days 00:03:42.000000000,Haroon119
2034,0 days 00:03:44.000000000,Vatan1121
2036,0 days 00:03:45.000000000,TFlaro
2039,0 days 00:03:45.000000000,Luyken88
2040,0 days 00:03:45.000000000,chrisstoll123
2048,0 days 00:03:47.000000000,ShuckYYY
2051,0 days 00:03:47.000000000,MorteScura
2059,0 days 00:03:47.000000000,TheKurtGutwein
2060,0 days 00:03:48.000000000,rayzman18
2061,0 days 00:03:48.000000000,stella_cohen
2062,0 days 00:03:49.000000000,Rickynow21
2067,0 days 00:03:49.000000000,CasM_z
2068,0 days 00:03:50.000000000,thehackerofyour
2071,0 days 00:03:50.000000000,DanielJoeRob
2099,0 days 00:03:56.000000000,jonnnysan
2103,0 days 00:03:56.000000000,joshoakes10
2108,0 days 00:03:57.000000000,LegendarySimon
2116,0 days 00:03:58.000000000,CMarieeePrice
2118,0 days 00:03:58.000000000,tribal_cule
2123,0 days 00:03:59.000000000,cyannebliss
2126,0 days 00:04:00.000000000,ChillyTweetz
2129,0 days 00:04:01.000000000,dylan_briedis
2137,0 days 00:04:02.000000000,glxness
2145,0 days 00:04:03.000000000,vakshua
2151,0 days 00:04:04.000000000,njsharma936
2153,0 days 00:04:04.000000000,PedroGonfinetti
2159,0 days 00:04:04.000000000,sergiocalheno
2160,0 days 00:04:05.000000000,eoin_guidas
2162,0 days 00:04:05.000000000,gksamuelthomas
2167,0 days 00:04:06.000000000,Ciminius
2168,0 days 00:04:06.000000000,Naramalarm
2169,0 days 00:04:06.000000000,GeorgiAthens
2201,0 days 00:04:11.000000000,TheMorgtuary
2203,0 days 00:04:12.000000000,GadgetDeyes
2219,0 days 00:04:14.000000000,p_grandino
2229,0 days 00:04:17.000000000,wafflehigh
2231,0 days 00:04:18.000000000,enfpcookie
2240,0 days 00:04:21.000000000,Alex_Kzf
2242,0 days 00:04:22.000000000,adam_d_cole
2243,0 days 00:04:22.000000000,KadeSlays
2245,0 days 00:04:22.000000000,The_Jessie_Kid
2247,0 days 00:04:22.000000000,andaryjo
2268,0 days 00:04:26.000000000,valonbyt
2272,0 days 00:04:27.000000000,aicchiBOO
2288,0 days 00:04:30.000000000,dwai76
2295,0 days 00:04:31.000000000,hamzeahmed1_
2301,0 days 00:04:32.000000000,dailyangelhelp
2315,0 days 00:04:35.000000000,ekthaengineer
2321,0 days 00:04:37.000000000,Zafwaf
2324,0 days 00:04:37.000000000,maxpsycho
2328,0 days 00:04:40.000000000,RandySnow47
2329,0 days 00:04:40.000000000,dnechv
2339,0 days 00:04:42.000000000,Leet_Juses
2341,0 days 00:04:42.000000000,thoje
2342,0 days 00:04:42.000000000,_GossipFolks
2348,0 days 00:04:44.000000000,_AnaPau
2351,0 days 00:04:45.000000000,Parodais
2352,0 days 00:04:45.000000000,benduchac
2370,0 days 00:04:48.000000000,wandersiemers
2375,0 days 00:04:49.000000000,Jonasbrondmark
2377,0 days 00:04:49.000000000,mandanzietti
2379,0 days 00:04:50.000000000,zglangdon
2384,0 days 00:04:50.000000000,JoeHarmon98
2396,0 days 00:04:52.000000000,mvzanier
2397,0 days 00:04:52.000000000,xob1le
2398,0 days 00:04:52.000000000,StepKnee918
2402,0 days 00:04:53.000000000,HashimLight
2411,0 days 00:04:54.000000000,DamnItMikaS
2417,0 days 00:04:55.000000000,falgunshah2
2430,0 days 00:04:57.000000000,Ed_Boy90
2444,0 days 00:05:00.000000000,nerd_15790473
2449,0 days 00:05:01.000000000,FinnCollom
2453,0 days 00:05:01.000000000,gurqiz
2459,0 days 00:05:03.000000000,aniketkuber
2477,0 days 00:05:06.000000000,XHD1976
2482,0 days 00:05:07.000000000,_Khoi_Le_
2488,0 days 00:05:09.000000000,NulgathWar
2489,0 days 00:05:09.000000000,rlndXX
2490,0 days 00:05:09.000000000,ReslLikeHazel
2492,0 days 00:05:10.000000000,hakunamahvodka
2496,0 days 00:05:11.000000000,HalpinLouis
2499,0 days 00:05:12.000000000,19yannick96
2500,0 days 00:05:13.000000000,alleexiiiiss
2503,0 days 00:05:13.000000000,mootscicle
2509,0 days 00:05:15.000000000,chesonoio
2515,0 days 00:05:17.000000000,pi3rat3
2517,0 days 00:05:17.000000000,jennyfonsecauuu
2520,0 days 00:05:17.000000000,mikeonesko
2522,0 days 00:05:18.000000000,boltonburnes
2539,0 days 00:05:21.000000000,burntwaffl3z
2562,0 days 00:05:25.000000000,imbatrolls
2574,0 days 00:05:28.000000000,ss_10million
2580,0 days 00:05:30.000000000,BiHZlatko
2589,0 days 00:05:33.000000000,callmeolli13
2590,0 days 00:05:33.000000000,HenryDanon
2591,0 days 00:05:33.000000000,Scorpdroid
2594,0 days 00:05:34.000000000,katalystdt
2601,0 days 00:05:35.000000000,Eduardo_Scrt
2612,0 days 00:05:37.000000000,BenoitMen
2624,0 days 00:05:40.000000000,KeytoSuccessss
2626,0 days 00:05:41.000000000,Jawad_K93
2641,0 days 00:05:43.000000000,CianMoore7
2648,0 days 00:05:46.000000000,AmandeepDindral
2654,0 days 00:05:47.000000000,blu_buckeye
2659,0 days 00:05:48.000000000,sqal08
2664,0 days 00:05:49.000000000,tec986
2675,0 days 00:05:50.000000000,alejandrogoffa
2683,0 days 00:05:52.000000000,_julienlux
2695,0 days 00:05:56.000000000,GotThisLogic
2696,0 days 00:05:56.000000000,optimusprike
2697,0 days 00:05:57.000000000,gurmansingh1981
