created_at,id,retweeted_status.created_at,retweeted_status.id,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.id,text,user.followers_count,user.friends_count,user.id,user.screen_name
Tue Nov 08 17:26:31 +0000 2016,796041219235192833,Tue Nov 08 17:26:09 +0000 2016,796041126960578560,3,593461,35006336,"RT @Reds: #Reds #ElectionDay giveaway! Vote for a prize, then RT this poll and follow us to be entered to win the prize getting the most vo…",850,440,3288138565,MikeWeberPls
Tue Nov 08 17:26:43 +0000 2016,796041269772488704,Tue Nov 08 17:26:09 +0000 2016,796041126960578560,12,593461,35006336,"RT @Reds: #Reds #ElectionDay giveaway! Vote for a prize, then RT this poll and follow us to be entered to win the prize getting the most vo…",145,249,337276849,TyHeinrich
Tue Nov 08 17:26:44 +0000 2016,796041273853485056,Tue Nov 08 17:26:09 +0000 2016,796041126960578560,14,593461,35006336,"RT @Reds: #Reds #ElectionDay giveaway! Vote for a prize, then RT this poll and follow us to be entered to win the prize getting the most vo…",14,149,226050904,thalls37
Tue Nov 08 17:26:44 +0000 2016,796041277364142080,Tue Nov 08 17:26:09 +0000 2016,796041126960578560,15,593461,35006336,"RT @Reds: #Reds #ElectionDay giveaway! Vote for a prize, then RT this poll and follow us to be entered to win the prize getting the most vo…",180,341,2911590961,GregFlowers12
Tue Nov 08 17:26:46 +0000 2016,796041284876193792,Tue Nov 08 17:26:09 +0000 2016,796041126960578560,16,593461,35006336,"RT @Reds: #Reds #ElectionDay giveaway! Vote for a prize, then RT this poll and follow us to be entered to win the prize getting the most vo…",228,437,1084679774,geddie21
Tue Nov 08 17:26:48 +0000 2016,796041290421047298,Tue Nov 08 17:26:09 +0000 2016,796041126960578560,17,593461,35006336,"RT @Reds: #Reds #ElectionDay giveaway! Vote for a prize, then RT this poll and follow us to be entered to win the prize getting the most vo…",576,357,334385065,tommyramsey12
Tue Nov 08 17:26:49 +0000 2016,796041294577541121,Tue Nov 08 17:26:09 +0000 2016,796041126960578560,19,593461,35006336,"RT @Reds: #Reds #ElectionDay giveaway! Vote for a prize, then RT this poll and follow us to be entered to win the prize getting the most vo…",62,261,2418992530,dylan_bruser
Tue Nov 08 17:26:51 +0000 2016,796041306313211908,Tue Nov 08 17:26:09 +0000 2016,796041126960578560,23,593461,35006336,"RT @Reds: #Reds #ElectionDay giveaway! Vote for a prize, then RT this poll and follow us to be entered to win the prize getting the most vo…",591,1021,1380003583,grog1324
Tue Nov 08 17:26:52 +0000 2016,796041309949665281,Tue Nov 08 17:26:09 +0000 2016,796041126960578560,27,593461,35006336,"RT @Reds: #Reds #ElectionDay giveaway! Vote for a prize, then RT this poll and follow us to be entered to win the prize getting the most vo…",712,570,248222648,tvavs15
Tue Nov 08 17:26:52 +0000 2016,796041309958049792,Tue Nov 08 17:26:09 +0000 2016,796041126960578560,27,593461,35006336,"RT @Reds: #Reds #ElectionDay giveaway! Vote for a prize, then RT this poll and follow us to be entered to win the prize getting the most vo…",174,242,2148819581,JWA_Two
Tue Nov 08 17:26:52 +0000 2016,796041310549458944,Tue Nov 08 17:26:09 +0000 2016,796041126960578560,28,593461,35006336,"RT @Reds: #Reds #ElectionDay giveaway! Vote for a prize, then RT this poll and follow us to be entered to win the prize getting the most vo…",225,206,1718843653,Parker_Samples3
Tue Nov 08 17:26:53 +0000 2016,796041311937826817,Tue Nov 08 17:26:09 +0000 2016,796041126960578560,31,593461,35006336,"RT @Reds: #Reds #ElectionDay giveaway! Vote for a prize, then RT this poll and follow us to be entered to win the prize getting the most vo…",880,768,25193850,JessBlevinsOH
Tue Nov 08 17:26:54 +0000 2016,796041319344992256,Tue Nov 08 17:26:09 +0000 2016,796041126960578560,34,593461,35006336,"RT @Reds: #Reds #ElectionDay giveaway! Vote for a prize, then RT this poll and follow us to be entered to win the prize getting the most vo…",615,289,174164617,inGODLEYwetrust
