,Time Difference,user.screen_name
0,0 days 00:00:16.000000000,iamdansim
4,0 days 00:00:47.000000000,alstegner
6,0 days 00:01:03.000000000,beefman46
8,0 days 00:01:12.000000000,MBGunner
9,0 days 00:01:33.000000000,ItsKrejci46
16,0 days 00:03:24.000000000,elwood_jack
17,0 days 00:03:28.000000000,MilburnCherian
18,0 days 00:03:38.000000000,FelixFosho
20,0 days 00:04:08.000000000,NinjaPolitix
22,0 days 00:05:11.000000000,laravanpletzen
28,0 days 00:07:13.000000000,JSara1234
35,0 days 00:10:16.000000000,DRoellig
40,0 days 00:13:10.000000000,KathyDeGreef1
43,0 days 00:17:08.000000000,QuantumJane
49,0 days 00:22:58.000000000,bestsparklegirl
54,0 days 00:24:25.000000000,keekilza1
56,0 days 00:24:58.000000000,IvyLeagueCake
60,0 days 00:26:43.000000000,TEXASDENNY
61,0 days 00:27:05.000000000,CombatHeroes
65,0 days 00:28:10.000000000,paiute023
67,0 days 00:28:58.000000000,magnifier661
70,0 days 00:29:25.000000000,sammarazzi
84,0 days 00:34:18.000000000,HmrncnrnHolli
86,0 days 00:34:42.000000000,WrongThinkBlog
88,0 days 00:35:30.000000000,NakedArchimede
89,0 days 00:35:53.000000000,Tinawheatley53
91,0 days 00:36:13.000000000,pr0truth
95,0 days 00:36:21.000000000,475bee
98,0 days 00:36:34.000000000,YoYoDietByBy
100,0 days 00:36:42.000000000,jmansour52
106,0 days 00:38:26.000000000,rondbusa
111,0 days 00:39:04.000000000,NathanHale76
114,0 days 00:39:54.000000000,trump20164prez
115,0 days 00:40:03.000000000,notthefakeDH
119,0 days 00:40:29.000000000,blacknyte7
121,0 days 00:40:57.000000000,KOTCOL_
125,0 days 00:41:04.000000000,dsnfktnt2016
132,0 days 00:41:38.000000000,ChrisHctper1
136,0 days 00:42:22.000000000,tom_lewisville
143,0 days 00:43:10.000000000,Isaak216N
144,0 days 00:43:24.000000000,ms_solo3u
151,0 days 00:46:19.000000000,Clayreevesjr
168,0 days 00:52:32.000000000,intellwatch
173,0 days 00:53:26.000000000,swargcoming
176,0 days 00:54:40.000000000,fickets_
188,0 days 01:01:21.000000000,KittyJaxx1
189,0 days 01:02:11.000000000,LainieF1
190,0 days 01:02:59.000000000,marilyndickrn
193,0 days 01:04:06.000000000,Wicked3s
194,0 days 01:04:10.000000000,sportratz
197,0 days 01:05:32.000000000,Rylickm
200,0 days 01:07:24.000000000,whosursuzerain
209,0 days 01:10:55.000000000,tigertrollz2
212,0 days 01:11:27.000000000,Gpatriot1776
214,0 days 01:11:49.000000000,keknocrat
218,0 days 01:13:52.000000000,Lifeonmars14
220,0 days 01:14:12.000000000,Mad_Agrar
221,0 days 01:14:14.000000000,merrow_a
222,0 days 01:14:40.000000000,djhallad1226
226,0 days 01:18:22.000000000,wolfgangfaustX
228,0 days 01:18:38.000000000,ronhollis1963
233,0 days 01:20:18.000000000,orion230
238,0 days 01:22:42.000000000,ECCDeplorable
247,0 days 01:26:11.000000000,TheGoodGuy2016
249,0 days 01:27:06.000000000,Edmond_Estrada
254,0 days 01:29:21.000000000,less_bullspit
257,0 days 01:34:28.000000000,MalyndaNyc
261,0 days 01:38:31.000000000,MediaUnfiltered
262,0 days 01:38:50.000000000,cpalmero27
263,0 days 01:39:27.000000000,BIGSHOW401
264,0 days 01:39:41.000000000,Jackson9Bo
265,0 days 01:40:12.000000000,TinaShrtcke1010
274,0 days 01:46:37.000000000,boes_rex
278,0 days 01:58:03.000000000,trxduner
291,0 days 02:16:28.000000000,Prodigalson52
297,0 days 02:20:19.000000000,Red1Echo
299,0 days 02:21:07.000000000,_Arcy__
301,0 days 02:23:47.000000000,mikeynels87
303,0 days 02:24:05.000000000,tyingmycravat
311,0 days 02:32:44.000000000,YouLootWeShoot
312,0 days 02:33:29.000000000,Corporatocrazy
322,0 days 02:42:57.000000000,mary122514
324,0 days 02:45:02.000000000,ThurwangerJason
331,0 days 02:54:20.000000000,Hollydler
340,0 days 03:02:45.000000000,ILOPOSITORMX
344,0 days 03:06:34.000000000,BryanStLouisNY
345,0 days 03:09:09.000000000,Linking_Mercury
348,0 days 03:13:42.000000000,ralphshields313
349,0 days 03:14:52.000000000,AskKathy
350,0 days 03:16:59.000000000,ReturnofRV
351,0 days 03:17:33.000000000,_REEEEEEEE_
353,0 days 03:18:55.000000000,Davidhnaz
356,0 days 03:24:07.000000000,biffslime
359,0 days 03:28:54.000000000,gayle_ryan
360,0 days 03:31:04.000000000,coolhandjohn5
364,0 days 03:38:30.000000000,GabBlas5
371,0 days 03:46:32.000000000,Bugsports_Fag
379,0 days 04:14:20.000000000,bzazzie
380,0 days 04:14:45.000000000,Arborsierra77
382,0 days 04:19:49.000000000,TheDonaldSports
384,0 days 04:20:59.000000000,yuri_bezmenov
385,0 days 04:22:16.000000000,katomart
387,0 days 04:39:09.000000000,NikoTheFarmer
388,0 days 04:39:20.000000000,CasperMomNJ
389,0 days 04:42:29.000000000,jenilynn1001
401,0 days 05:11:16.000000000,BerkowitzAnne
405,0 days 05:22:04.000000000,politically_cor
406,0 days 05:22:17.000000000,DeanJackson9
408,0 days 05:23:14.000000000,Cynthiastruth
409,0 days 05:24:44.000000000,JoinTrumpTrain
410,0 days 05:25:52.000000000,lilmomma43420
