Time Difference,user.screen_name,Appearances
0 days 03:17:28.000000000,woodstock_dave,10
0 days 03:12:05.000000000,woodstock_dave,10
0 days 02:38:53.000000000,woodstock_dave,10
0 days 02:18:39.000000000,woodstock_dave,10
0 days 00:13:38.000000000,woodstock_dave,10
0 days 03:17:28.000000000,woodstock_dave,10
0 days 03:12:05.000000000,woodstock_dave,10
0 days 02:38:53.000000000,woodstock_dave,10
0 days 02:18:39.000000000,woodstock_dave,10
0 days 00:13:38.000000000,woodstock_dave,10
0 days 07:43:30.000000000,art888777,8
0 days 07:29:44.000000000,art888777,8
0 days 03:46:22.000000000,art888777,8
0 days 03:49:30.000000000,art888777,8
0 days 07:43:30.000000000,art888777,8
0 days 07:29:44.000000000,art888777,8
0 days 03:46:22.000000000,art888777,8
0 days 03:49:30.000000000,art888777,8
0 days 01:56:36.000000000,Cate66,8
0 days 01:50:18.000000000,Cate66,8
0 days 01:15:04.000000000,Cate66,8
0 days 00:53:12.000000000,Cate66,8
0 days 01:56:36.000000000,Cate66,8
0 days 01:50:18.000000000,Cate66,8
0 days 01:15:04.000000000,Cate66,8
0 days 00:53:12.000000000,Cate66,8
0 days 02:30:52.000000000,feedchick,8
0 days 03:23:17.000000000,feedchick,8
0 days 00:02:36.000000000,feedchick,8
0 days 00:07:42.000000000,feedchick,8
0 days 02:30:52.000000000,feedchick,8
0 days 03:23:17.000000000,feedchick,8
0 days 00:02:36.000000000,feedchick,8
0 days 00:07:42.000000000,feedchick,8
0 days 02:05:46.000000000,GregScheinert,8
0 days 01:05:36.000000000,GregScheinert,8
0 days 00:28:49.000000000,GregScheinert,8
0 days 00:52:54.000000000,GregScheinert,8
0 days 02:05:46.000000000,GregScheinert,8
0 days 01:05:36.000000000,GregScheinert,8
0 days 00:28:49.000000000,GregScheinert,8
0 days 00:52:54.000000000,GregScheinert,8
0 days 00:58:33.000000000,lestherneck001,8
0 days 02:14:50.000000000,lestherneck001,8
0 days 00:12:21.000000000,lestherneck001,8
0 days 00:22:01.000000000,lestherneck001,8
0 days 00:58:33.000000000,lestherneck001,8
0 days 02:14:50.000000000,lestherneck001,8
0 days 00:12:21.000000000,lestherneck001,8
0 days 00:22:01.000000000,lestherneck001,8
0 days 01:40:37.000000000,LiberalCuration,8
0 days 00:16:33.000000000,LiberalCuration,8
0 days 01:13:14.000000000,LiberalCuration,8
0 days 00:43:42.000000000,LiberalCuration,8
0 days 01:40:37.000000000,LiberalCuration,8
0 days 00:16:33.000000000,LiberalCuration,8
0 days 01:13:14.000000000,LiberalCuration,8
0 days 00:43:42.000000000,LiberalCuration,8
0 days 00:12:32.000000000,Neil3224,8
0 days 01:23:10.000000000,Neil3224,8
0 days 01:24:34.000000000,Neil3224,8
0 days 01:04:46.000000000,Neil3224,8
0 days 00:12:32.000000000,Neil3224,8
0 days 01:23:10.000000000,Neil3224,8
0 days 01:24:34.000000000,Neil3224,8
0 days 01:04:46.000000000,Neil3224,8
0 days 05:00:00.000000000,PoliticsUSTD,8
0 days 01:15:12.000000000,PoliticsUSTD,8
0 days 00:40:30.000000000,PoliticsUSTD,8
0 days 00:17:24.000000000,PoliticsUSTD,8
0 days 05:00:00.000000000,PoliticsUSTD,8
0 days 01:15:12.000000000,PoliticsUSTD,8
0 days 00:40:30.000000000,PoliticsUSTD,8
0 days 00:17:24.000000000,PoliticsUSTD,8
0 days 00:05:01.000000000,rhbaseball15,8
0 days 07:07:32.000000000,rhbaseball15,8
0 days 01:10:10.000000000,rhbaseball15,8
0 days 00:43:57.000000000,rhbaseball15,8
0 days 00:05:01.000000000,rhbaseball15,8
0 days 07:07:32.000000000,rhbaseball15,8
0 days 01:10:10.000000000,rhbaseball15,8
0 days 00:43:57.000000000,rhbaseball15,8
0 days 02:00:44.000000000,tdburton94,8
0 days 01:37:26.000000000,tdburton94,8
0 days 04:48:25.000000000,tdburton94,8
0 days 00:11:49.000000000,tdburton94,8
0 days 02:00:44.000000000,tdburton94,8
0 days 01:37:26.000000000,tdburton94,8
0 days 04:48:25.000000000,tdburton94,8
0 days 00:11:49.000000000,tdburton94,8
0 days 01:20:21.000000000,USCG_Vet,8
0 days 01:09:02.000000000,USCG_Vet,8
0 days 00:34:08.000000000,USCG_Vet,8
0 days 04:51:45.000000000,USCG_Vet,8
0 days 01:20:21.000000000,USCG_Vet,8
0 days 01:09:02.000000000,USCG_Vet,8
0 days 00:34:08.000000000,USCG_Vet,8
0 days 04:51:45.000000000,USCG_Vet,8
0 days 01:27:41.000000000,Yanktanker1,8
0 days 00:23:39.000000000,Yanktanker1,8
0 days 00:37:37.000000000,Yanktanker1,8
0 days 00:22:46.000000000,Yanktanker1,8
0 days 01:27:41.000000000,Yanktanker1,8
0 days 00:23:39.000000000,Yanktanker1,8
0 days 00:37:37.000000000,Yanktanker1,8
0 days 00:22:46.000000000,Yanktanker1,8
0 days 08:38:04.000000000,_Kazy__,6
0 days 01:33:30.000000000,_Kazy__,6
0 days 00:47:29.000000000,_Kazy__,6
0 days 08:38:04.000000000,_Kazy__,6
0 days 01:33:30.000000000,_Kazy__,6
0 days 00:47:29.000000000,_Kazy__,6
0 days 07:43:36.000000000,AgentDeplorable,6
0 days 06:49:15.000000000,AgentDeplorable,6
0 days 05:03:14.000000000,AgentDeplorable,6
0 days 07:43:36.000000000,AgentDeplorable,6
0 days 06:49:15.000000000,AgentDeplorable,6
0 days 05:03:14.000000000,AgentDeplorable,6
0 days 00:44:52.000000000,alwaystimothy,6
0 days 00:01:23.000000000,alwaystimothy,6
0 days 00:01:23.000000000,alwaystimothy,6
0 days 00:44:52.000000000,alwaystimothy,6
0 days 00:01:23.000000000,alwaystimothy,6
0 days 00:01:23.000000000,alwaystimothy,6
0 days 00:09:23.000000000,ambinc1,6
0 days 02:08:06.000000000,ambinc1,6
0 days 00:10:22.000000000,ambinc1,6
0 days 00:09:23.000000000,ambinc1,6
0 days 02:08:06.000000000,ambinc1,6
0 days 00:10:22.000000000,ambinc1,6
0 days 03:12:21.000000000,amspeed13,6
0 days 00:15:42.000000000,amspeed13,6
0 days 00:10:41.000000000,amspeed13,6
0 days 03:12:21.000000000,amspeed13,6
0 days 00:15:42.000000000,amspeed13,6
0 days 00:10:41.000000000,amspeed13,6
0 days 01:39:34.000000000,Bdmogul83,6
0 days 00:18:09.000000000,Bdmogul83,6
0 days 00:22:57.000000000,Bdmogul83,6
0 days 01:39:34.000000000,Bdmogul83,6
0 days 00:18:09.000000000,Bdmogul83,6
0 days 00:22:57.000000000,Bdmogul83,6
0 days 03:23:49.000000000,biznixcn,6
0 days 03:14:21.000000000,biznixcn,6
0 days 01:06:52.000000000,biznixcn,6
0 days 03:23:49.000000000,biznixcn,6
0 days 03:14:21.000000000,biznixcn,6
0 days 01:06:52.000000000,biznixcn,6
0 days 01:15:21.000000000,burk9,6
0 days 01:00:09.000000000,burk9,6
0 days 02:12:21.000000000,burk9,6
0 days 01:15:21.000000000,burk9,6
0 days 01:00:09.000000000,burk9,6
0 days 02:12:21.000000000,burk9,6
0 days 02:05:18.000000000,celyrazal,6
0 days 00:22:42.000000000,celyrazal,6
0 days 03:20:49.000000000,celyrazal,6
0 days 02:05:18.000000000,celyrazal,6
0 days 00:22:42.000000000,celyrazal,6
0 days 03:20:49.000000000,celyrazal,6
0 days 00:58:17.000000000,ConservCuration,6
0 days 01:55:09.000000000,ConservCuration,6
0 days 01:53:18.000000000,ConservCuration,6
0 days 00:58:17.000000000,ConservCuration,6
0 days 01:55:09.000000000,ConservCuration,6
0 days 01:53:18.000000000,ConservCuration,6
0 days 00:59:43.000000000,DebNC93,6
0 days 02:06:02.000000000,DebNC93,6
0 days 00:51:33.000000000,DebNC93,6
0 days 00:59:43.000000000,DebNC93,6
0 days 02:06:02.000000000,DebNC93,6
0 days 00:51:33.000000000,DebNC93,6
0 days 03:38:17.000000000,dlortner,6
0 days 03:33:32.000000000,dlortner,6
0 days 02:53:50.000000000,dlortner,6
0 days 03:38:17.000000000,dlortner,6
0 days 03:33:32.000000000,dlortner,6
0 days 02:53:50.000000000,dlortner,6
0 days 07:56:27.000000000,ejie1enter,6
0 days 02:06:56.000000000,ejie1enter,6
0 days 00:21:54.000000000,ejie1enter,6
0 days 07:56:27.000000000,ejie1enter,6
0 days 02:06:56.000000000,ejie1enter,6
0 days 00:21:54.000000000,ejie1enter,6
0 days 08:38:37.000000000,Fermina97440439,6
0 days 08:28:47.000000000,Fermina97440439,6
0 days 02:29:34.000000000,Fermina97440439,6
0 days 08:38:37.000000000,Fermina97440439,6
0 days 08:28:47.000000000,Fermina97440439,6
0 days 02:29:34.000000000,Fermina97440439,6
0 days 00:12:41.000000000,firstpdtrump,6
0 days 00:03:03.000000000,firstpdtrump,6
0 days 00:37:49.000000000,firstpdtrump,6
0 days 00:12:41.000000000,firstpdtrump,6
0 days 00:03:03.000000000,firstpdtrump,6
0 days 00:37:49.000000000,firstpdtrump,6
0 days 02:43:33.000000000,FredJon85779957,6
0 days 00:28:25.000000000,FredJon85779957,6
0 days 00:59:07.000000000,FredJon85779957,6
0 days 02:43:33.000000000,FredJon85779957,6
0 days 00:28:25.000000000,FredJon85779957,6
0 days 00:59:07.000000000,FredJon85779957,6
0 days 04:38:10.000000000,hallmanjen333,6
0 days 03:24:49.000000000,hallmanjen333,6
0 days 00:54:17.000000000,hallmanjen333,6
0 days 04:38:10.000000000,hallmanjen333,6
0 days 03:24:49.000000000,hallmanjen333,6
0 days 00:54:17.000000000,hallmanjen333,6
0 days 01:42:26.000000000,JanLaduron,6
0 days 01:11:43.000000000,JanLaduron,6
0 days 00:57:31.000000000,JanLaduron,6
0 days 01:42:26.000000000,JanLaduron,6
0 days 01:11:43.000000000,JanLaduron,6
0 days 00:57:31.000000000,JanLaduron,6
0 days 04:10:55.000000000,KeepEmAccntable,6
0 days 03:44:07.000000000,KeepEmAccntable,6
0 days 00:11:44.000000000,KeepEmAccntable,6
0 days 04:10:55.000000000,KeepEmAccntable,6
0 days 03:44:07.000000000,KeepEmAccntable,6
0 days 00:11:44.000000000,KeepEmAccntable,6
0 days 03:02:35.000000000,KennyLipp,6
0 days 09:59:32.000000000,KennyLipp,6
0 days 02:22:30.000000000,KennyLipp,6
0 days 03:02:35.000000000,KennyLipp,6
0 days 09:59:32.000000000,KennyLipp,6
0 days 02:22:30.000000000,KennyLipp,6
0 days 02:17:16.000000000,ladydwall,6
0 days 02:07:10.000000000,ladydwall,6
0 days 01:30:37.000000000,ladydwall,6
0 days 02:17:16.000000000,ladydwall,6
0 days 02:07:10.000000000,ladydwall,6
0 days 01:30:37.000000000,ladydwall,6
0 days 03:29:44.000000000,LarissaBaca,6
0 days 01:22:21.000000000,LarissaBaca,6
0 days 01:18:59.000000000,LarissaBaca,6
0 days 03:29:44.000000000,LarissaBaca,6
0 days 01:22:21.000000000,LarissaBaca,6
0 days 01:18:59.000000000,LarissaBaca,6
0 days 06:29:57.000000000,Lylibeth_Ortiz,6
0 days 00:54:02.000000000,Lylibeth_Ortiz,6
0 days 03:22:51.000000000,Lylibeth_Ortiz,6
0 days 06:29:57.000000000,Lylibeth_Ortiz,6
0 days 00:54:02.000000000,Lylibeth_Ortiz,6
0 days 03:22:51.000000000,Lylibeth_Ortiz,6
0 days 02:44:22.000000000,martinmarcus21,6
0 days 01:20:11.000000000,martinmarcus21,6
0 days 02:02:50.000000000,martinmarcus21,6
0 days 02:44:22.000000000,martinmarcus21,6
0 days 01:20:11.000000000,martinmarcus21,6
0 days 02:02:50.000000000,martinmarcus21,6
0 days 06:03:51.000000000,mary44614,6
0 days 04:26:15.000000000,mary44614,6
0 days 01:19:50.000000000,mary44614,6
0 days 06:03:51.000000000,mary44614,6
0 days 04:26:15.000000000,mary44614,6
0 days 01:19:50.000000000,mary44614,6
0 days 02:34:55.000000000,MelanieKReese,6
0 days 01:18:35.000000000,MelanieKReese,6
0 days 00:59:53.000000000,MelanieKReese,6
0 days 02:34:55.000000000,MelanieKReese,6
0 days 01:18:35.000000000,MelanieKReese,6
0 days 00:59:53.000000000,MelanieKReese,6
0 days 01:01:23.000000000,missjonieooaks,6
0 days 04:14:23.000000000,missjonieooaks,6
0 days 01:28:02.000000000,missjonieooaks,6
0 days 01:01:23.000000000,missjonieooaks,6
0 days 04:14:23.000000000,missjonieooaks,6
0 days 01:28:02.000000000,missjonieooaks,6
0 days 03:28:54.000000000,mllnola,6
0 days 00:53:58.000000000,mllnola,6
0 days 04:29:11.000000000,mllnola,6
0 days 03:28:54.000000000,mllnola,6
0 days 00:53:58.000000000,mllnola,6
0 days 04:29:11.000000000,mllnola,6
0 days 01:37:13.000000000,ninivepenajr,6
0 days 03:05:19.000000000,ninivepenajr,6
0 days 00:02:53.000000000,ninivepenajr,6
0 days 01:37:13.000000000,ninivepenajr,6
0 days 03:05:19.000000000,ninivepenajr,6
0 days 00:02:53.000000000,ninivepenajr,6
0 days 00:22:08.000000000,PepenFuhrer,6
0 days 00:07:37.000000000,PepenFuhrer,6
0 days 00:07:16.000000000,PepenFuhrer,6
0 days 00:22:08.000000000,PepenFuhrer,6
0 days 00:07:37.000000000,PepenFuhrer,6
0 days 00:07:16.000000000,PepenFuhrer,6
0 days 00:04:14.000000000,PN_Steve,6
0 days 00:04:14.000000000,PN_Steve,6
0 days 00:24:07.000000000,PN_Steve,6
0 days 00:04:14.000000000,PN_Steve,6
0 days 00:04:14.000000000,PN_Steve,6
0 days 00:24:07.000000000,PN_Steve,6
0 days 00:08:04.000000000,qt4shrt,6
0 days 00:06:17.000000000,qt4shrt,6
0 days 00:09:58.000000000,qt4shrt,6
0 days 00:08:04.000000000,qt4shrt,6
0 days 00:06:17.000000000,qt4shrt,6
0 days 00:09:58.000000000,qt4shrt,6
0 days 09:20:31.000000000,randomsweede,6
0 days 00:57:36.000000000,randomsweede,6
0 days 02:14:37.000000000,randomsweede,6
0 days 09:20:31.000000000,randomsweede,6
0 days 00:57:36.000000000,randomsweede,6
0 days 02:14:37.000000000,randomsweede,6
0 days 00:36:11.000000000,RiddlewpmSheri,6
0 days 00:20:47.000000000,RiddlewpmSheri,6
0 days 04:32:18.000000000,RiddlewpmSheri,6
0 days 00:36:11.000000000,RiddlewpmSheri,6
0 days 00:20:47.000000000,RiddlewpmSheri,6
0 days 04:32:18.000000000,RiddlewpmSheri,6
0 days 02:14:36.000000000,solmartpropert1,6
0 days 00:12:54.000000000,solmartpropert1,6
0 days 00:10:50.000000000,solmartpropert1,6
0 days 02:14:36.000000000,solmartpropert1,6
0 days 00:12:54.000000000,solmartpropert1,6
0 days 00:10:50.000000000,solmartpropert1,6
0 days 06:56:31.000000000,terrydvl,6
0 days 01:41:28.000000000,terrydvl,6
0 days 00:00:16.000000000,terrydvl,6
0 days 06:56:31.000000000,terrydvl,6
0 days 01:41:28.000000000,terrydvl,6
0 days 00:00:16.000000000,terrydvl,6
0 days 02:26:10.000000000,Texas_Trump,6
0 days 00:39:40.000000000,Texas_Trump,6
0 days 04:13:28.000000000,Texas_Trump,6
0 days 02:26:10.000000000,Texas_Trump,6
0 days 00:39:40.000000000,Texas_Trump,6
0 days 04:13:28.000000000,Texas_Trump,6
0 days 04:27:24.000000000,TrumpCha,6
0 days 01:00:16.000000000,TrumpCha,6
0 days 01:24:53.000000000,TrumpCha,6
0 days 04:27:24.000000000,TrumpCha,6
0 days 01:00:16.000000000,TrumpCha,6
0 days 01:24:53.000000000,TrumpCha,6
0 days 00:23:24.000000000,turopo99,6
0 days 01:58:14.000000000,turopo99,6
0 days 00:14:45.000000000,turopo99,6
0 days 00:23:24.000000000,turopo99,6
0 days 01:58:14.000000000,turopo99,6
0 days 00:14:45.000000000,turopo99,6
0 days 01:53:55.000000000,veganvecoh,6
0 days 00:05:19.000000000,veganvecoh,6
0 days 00:24:42.000000000,veganvecoh,6
0 days 01:53:55.000000000,veganvecoh,6
0 days 00:05:19.000000000,veganvecoh,6
0 days 00:24:42.000000000,veganvecoh,6
0 days 00:20:18.000000000,wjkkarma1,6
0 days 06:35:14.000000000,wjkkarma1,6
0 days 02:46:00.000000000,wjkkarma1,6
0 days 00:20:18.000000000,wjkkarma1,6
0 days 06:35:14.000000000,wjkkarma1,6
0 days 02:46:00.000000000,wjkkarma1,6
0 days 00:58:10.000000000,WolfensPride,6
0 days 04:56:03.000000000,WolfensPride,6
0 days 03:00:29.000000000,WolfensPride,6
0 days 00:58:10.000000000,WolfensPride,6
0 days 04:56:03.000000000,WolfensPride,6
0 days 03:00:29.000000000,WolfensPride,6
0 days 00:54:07.000000000,10prissy12,4
0 days 00:52:02.000000000,10prissy12,4
0 days 00:54:07.000000000,10prissy12,4
0 days 00:52:02.000000000,10prissy12,4
0 days 01:46:48.000000000,2425pumpe,4
0 days 00:03:05.000000000,2425pumpe,4
0 days 01:46:48.000000000,2425pumpe,4
0 days 00:03:05.000000000,2425pumpe,4
0 days 00:02:32.000000000,5566beauty,4
0 days 00:26:41.000000000,5566beauty,4
0 days 00:02:32.000000000,5566beauty,4
0 days 00:26:41.000000000,5566beauty,4
0 days 00:26:17.000000000,Adriann80348827,4
0 days 03:24:21.000000000,Adriann80348827,4
0 days 00:26:17.000000000,Adriann80348827,4
0 days 03:24:21.000000000,Adriann80348827,4
0 days 02:19:46.000000000,American525,4
0 days 00:14:13.000000000,American525,4
0 days 02:19:46.000000000,American525,4
0 days 00:14:13.000000000,American525,4
0 days 03:07:37.000000000,AngelovskiyV,4
0 days 02:31:23.000000000,AngelovskiyV,4
0 days 03:07:37.000000000,AngelovskiyV,4
0 days 02:31:23.000000000,AngelovskiyV,4
0 days 07:50:41.000000000,AngryCitizen8,4
0 days 07:04:35.000000000,AngryCitizen8,4
0 days 07:50:41.000000000,AngryCitizen8,4
0 days 07:04:35.000000000,AngryCitizen8,4
0 days 05:46:56.000000000,ansrkr3816,4
0 days 04:02:42.000000000,ansrkr3816,4
0 days 05:46:56.000000000,ansrkr3816,4
0 days 04:02:42.000000000,ansrkr3816,4
0 days 03:55:37.000000000,anthonyjohn317,4
0 days 00:41:45.000000000,anthonyjohn317,4
0 days 03:55:37.000000000,anthonyjohn317,4
0 days 00:41:45.000000000,anthonyjohn317,4
0 days 00:19:46.000000000,Augustus1683AD,4
0 days 00:04:55.000000000,Augustus1683AD,4
0 days 00:19:46.000000000,Augustus1683AD,4
0 days 00:04:55.000000000,Augustus1683AD,4
0 days 00:56:32.000000000,avalanch_brkdwn,4
0 days 00:04:01.000000000,avalanch_brkdwn,4
0 days 00:56:32.000000000,avalanch_brkdwn,4
0 days 00:04:01.000000000,avalanch_brkdwn,4
0 days 00:49:33.000000000,Barack_2017,4
0 days 00:54:06.000000000,Barack_2017,4
0 days 00:49:33.000000000,Barack_2017,4
0 days 00:54:06.000000000,Barack_2017,4
0 days 04:22:06.000000000,BelisaDavis,4
0 days 00:26:18.000000000,BelisaDavis,4
0 days 04:22:06.000000000,BelisaDavis,4
0 days 00:26:18.000000000,BelisaDavis,4
0 days 02:14:28.000000000,Bigruss26711,4
0 days 00:24:46.000000000,Bigruss26711,4
0 days 02:14:28.000000000,Bigruss26711,4
0 days 00:24:46.000000000,Bigruss26711,4
0 days 00:01:04.000000000,BillCasey1929,4
0 days 00:11:34.000000000,BillCasey1929,4
0 days 00:01:04.000000000,BillCasey1929,4
0 days 00:11:34.000000000,BillCasey1929,4
0 days 01:26:05.000000000,billfromkaty,4
0 days 03:32:13.000000000,billfromkaty,4
0 days 01:26:05.000000000,billfromkaty,4
0 days 03:32:13.000000000,billfromkaty,4
0 days 01:24:04.000000000,BobKalsjad,4
0 days 00:47:54.000000000,BobKalsjad,4
0 days 01:24:04.000000000,BobKalsjad,4
0 days 00:47:54.000000000,BobKalsjad,4
0 days 00:17:21.000000000,bosc2003,4
0 days 00:49:34.000000000,bosc2003,4
0 days 00:17:21.000000000,bosc2003,4
0 days 00:49:34.000000000,bosc2003,4
0 days 07:40:57.000000000,bridgettlthomp,4
0 days 07:11:32.000000000,bridgettlthomp,4
0 days 07:40:57.000000000,bridgettlthomp,4
0 days 07:11:32.000000000,bridgettlthomp,4
0 days 00:07:20.000000000,BrookNatalie10,4
0 days 04:13:54.000000000,BrookNatalie10,4
0 days 00:07:20.000000000,BrookNatalie10,4
0 days 04:13:54.000000000,BrookNatalie10,4
0 days 01:42:06.000000000,bubusmaw,4
0 days 00:58:05.000000000,bubusmaw,4
0 days 01:42:06.000000000,bubusmaw,4
0 days 00:58:05.000000000,bubusmaw,4
0 days 06:52:39.000000000,budthespuddy,4
0 days 00:47:40.000000000,budthespuddy,4
0 days 06:52:39.000000000,budthespuddy,4
0 days 00:47:40.000000000,budthespuddy,4
0 days 01:50:25.000000000,BunkerBlast,4
0 days 00:21:42.000000000,BunkerBlast,4
0 days 01:50:25.000000000,BunkerBlast,4
0 days 00:21:42.000000000,BunkerBlast,4
0 days 00:02:52.000000000,Capitalist_Army,4
0 days 03:17:25.000000000,Capitalist_Army,4
0 days 00:02:52.000000000,Capitalist_Army,4
0 days 03:17:25.000000000,Capitalist_Army,4
0 days 00:11:27.000000000,CarolDunnack,4
0 days 01:11:19.000000000,CarolDunnack,4
0 days 00:11:27.000000000,CarolDunnack,4
0 days 01:11:19.000000000,CarolDunnack,4
0 days 01:13:52.000000000,CatByrd22,4
0 days 01:08:54.000000000,CatByrd22,4
0 days 01:13:52.000000000,CatByrd22,4
0 days 01:08:54.000000000,CatByrd22,4
