Folder,Retweet Count,Time Difference,Total Retweeted,Retweeted Followers
data1079,2.0,0 days 00:00:09.000000000,20484.0,13064644.0
data1184,1.0,0 days 00:00:01.000000000,3558.0,109288.0
data828,1.0,0 days 00:00:09.000000000,2945.0,96771.0
data857,1.0,0 days 00:00:04.000000000,1698.0,253966.0
data862,1.0,0 days 00:00:05.000000000,1108.0,141084.0
data868,1.0,0 days 00:00:10.000000000,8170.0,51129.0
data898,1.0,0 days 00:00:10.000000000,1533.0,503441.0
