id,retweeted_status.id,created_at,retweeted_status.created_at,user.id,user.screen_name,user.friends_count,user.followers_count,retweeted_status.user.id,retweeted_status.user.screen_name,retweeted_status.user.followers_count,retweeted_status.user.friends_count,text,retweeted_status.retweet_count
795971378948280321,795970323325796356,Tue Nov 08 12:48:59 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2548366909,rcubviews,1339,135,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",20
795971424632635392,795970323325796356,Tue Nov 08 12:49:10 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2313760231,susanbbsi,440,35,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",21
795971447365783552,795970323325796356,Tue Nov 08 12:49:16 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,3346217013,ikhquvvpzc,551,21,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",22
795971481347891201,795970323325796356,Tue Nov 08 12:49:24 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2521698620,kimballgareh,458,17,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",23
795971500293517313,795970323325796356,Tue Nov 08 12:49:28 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2595605282,zagth_fa,367,24,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",24
795971515581726720,795970323325796356,Tue Nov 08 12:49:32 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,702737015624896512,jlmqcp,296,34,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",25
795971543616647172,795970323325796356,Tue Nov 08 12:49:39 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,3228540389,justin_roeerd,881,36,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",26
795971579339542528,795970323325796356,Tue Nov 08 12:49:47 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2699113993,ReggieLo3ev3,379,16,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",27
795971595600740352,795970323325796356,Tue Nov 08 12:49:51 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,702360020856545285,Pokbballprocetj,205,46,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",28
795971618677760000,795970323325796356,Tue Nov 08 12:49:56 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,3228369801,KJConsulgint,831,38,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",29
795971635862007809,795970323325796356,Tue Nov 08 12:50:01 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2825090210,ShowWatuSpkOaef,281,27,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",30
795971659085684736,795970323325796356,Tue Nov 08 12:50:06 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,3184328286,investmentsahc,765,22,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",31
795971676324462592,795970323325796356,Tue Nov 08 12:50:10 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2331216398,Ros22s22,358,15,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",32
795971698843668480,795970323325796356,Tue Nov 08 12:50:16 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2286872346,TonTn7o2,475,18,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",33
795971742980259841,795970323325796356,Tue Nov 08 12:50:26 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2213529649,jazjustdonrceat,159,27,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",34
795971748839784448,795970323325796356,Tue Nov 08 12:50:28 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2783474108,jakewta_l,328,26,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",35
795971768787812354,795970323325796356,Tue Nov 08 12:50:32 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,3336970169,piskrin,412,14,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",36
795971794117259264,795970323325796356,Tue Nov 08 12:50:38 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,3296849683,ElectrocSolarKK,758,49,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",37
795971822676221952,795970323325796356,Tue Nov 08 12:50:45 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2510046846,OnealPrtero,434,14,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",38
795971851306438656,795970323325796356,Tue Nov 08 12:50:52 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,3228655547,RadeecMkk,819,32,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",39
795971924287426560,795970323325796356,Tue Nov 08 12:51:09 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2484590540,sk8rchickshanua,501,21,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",40
795971939240148992,795970323325796356,Tue Nov 08 12:51:13 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2474037169,jakkzzc,431,16,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",41
795971990205014017,795970323325796356,Tue Nov 08 12:51:25 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2497957850,lorndjs,423,15,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",42
795972151035707392,795970323325796356,Tue Nov 08 12:52:03 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,3320779174,JohnstoncYellin,791,31,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",43
795972169876520960,795970323325796356,Tue Nov 08 12:52:08 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,3230837536,ConnecUMCt,789,41,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",44
795972193683288064,795970323325796356,Tue Nov 08 12:52:14 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2817951108,AndrewdeyaNar,384,20,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",45
795972212956110848,795970323325796356,Tue Nov 08 12:52:18 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,4404056541,GAAS_UA,554,39,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",46
795972244241547264,795970323325796356,Tue Nov 08 12:52:26 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,3262219212,SjcialWorldApp,745,32,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",47
795972248599490560,795970323325796356,Tue Nov 08 12:52:27 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2735057810,smokleein,384,11,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",48
795972277275762688,795970323325796356,Tue Nov 08 12:52:34 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2409849968,oCrdia_Bombich,942,20,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",49
795972287359025152,795970323325796356,Tue Nov 08 12:52:36 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,3269067788,acrinatina,770,30,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",50
795972307730710529,795970323325796356,Tue Nov 08 12:52:41 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2434147489,DuncanMicha1e2l,480,22,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",51
795972344967757824,795970323325796356,Tue Nov 08 12:52:50 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,4402238837,UNSIGNEDhyeSpU,586,30,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",52
795972348075712512,795970323325796356,Tue Nov 08 12:52:50 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2496977960,TNO_aPdan,430,13,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",53
795972381055614976,795970323325796356,Tue Nov 08 12:52:58 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2445000072,RafyaGr,451,23,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",54
795972389939150848,795970323325796356,Tue Nov 08 12:53:00 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2206535448,KGolu1d2,413,18,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",55
795972421912145920,795970323325796356,Tue Nov 08 12:53:08 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2395175137,PSpopMagic,983,34,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",56
795972449187676161,795970323325796356,Tue Nov 08 12:53:14 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2500652304,ShanoMlB,376,12,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",57
795972470901800960,795970323325796356,Tue Nov 08 12:53:20 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2611802906,GlobalInves2ort,440,11,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",58
795972501939613696,795970323325796356,Tue Nov 08 12:53:27 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2186105634,allyextermenati,344,10,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",59
795972522185474048,795970323325796356,Tue Nov 08 12:53:32 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2438083302,massey_adybr,486,11,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",60
795972546831093760,795970323325796356,Tue Nov 08 12:53:38 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,3347810829,GunsOfFredeom,837,103,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",61
795972564581576706,795970323325796356,Tue Nov 08 12:53:42 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,706043926512345088,REPETEiDnC,334,42,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",62
795972587423727616,795970323325796356,Tue Nov 08 12:53:47 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,3347875583,makingmoneyudgi,728,53,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",63
795972661914443777,795970323325796356,Tue Nov 08 12:54:05 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2595711295,Optimystic1l_a,440,16,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",64
795972693841604608,795970323325796356,Tue Nov 08 12:54:13 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2267952433,RobertZahpnCom,468,15,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",65
795972711604363264,795970323325796356,Tue Nov 08 12:54:17 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2523680406,Daveyg7g77g,259,21,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",66
795972753279057920,795970323325796356,Tue Nov 08 12:54:27 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2646078985,Ryanfulr6e9m,353,29,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",67
795972776003796993,795970323325796356,Tue Nov 08 12:54:32 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2603549528,mclaughlinawadr,580,29,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",68
795972804810182656,795970323325796356,Tue Nov 08 12:54:39 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2971578916,MattSkillanm,484,24,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",69
795972822573129728,795970323325796356,Tue Nov 08 12:54:44 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,3460836263,EdgaoWilson,869,40,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",70
795972891498184705,795970323325796356,Tue Nov 08 12:55:00 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2499479784,Justin_Wkacmo,375,13,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",71
795972911173537792,795970323325796356,Tue Nov 08 12:55:05 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,705005760523149312,Josia653h,311,43,336190254,DamiraMaricic,44843,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",72
795972955608154112,795970323325796356,Tue Nov 08 12:55:15 +0000 2016,Tue Nov 08 12:44:48 +0000 2016,2232792511,StayEffinBlruta,392,21,336190254,DamiraMaricic,44844,45917,"RT @DamiraMaricic: Being the 1st female president of our country is an honorable and prestigious position! Which you, @HillaryClinton, sadl…",73
