user_id,cap,content_score,display_score,friend_score,network_score,sentiment_score,english_score,universal_score
26053643,0.001691229,0.7,,0.5,0.8,0.2,0.027677698,0.025486425
430589068,0.002307921,0.2,,0.7,0.5,0.3,0.023437101,0.048113666
3435480864,,,,,,,,
2288457919,0.004725362,1.2,,0.8,1.7,1.9,0.057807183,0.103285735
22410360,0.012907437,1.6,,1.7,1.4,1.5,0.269102246,0.194667737
43638751,0.885040207,0.3,,0.6,1.2,0.7,0.917887814,0.950042715
844085474,0.067479061,3.4,,1.6,2.8,4.4,0.688417762,0.433677434
2656244951,0.002100996,0.4,,0.5,0.9,1.5,0.041789835,0.04110674
380943530,0.034358494,4.5,,1.6,0.5,1.9,0.669827127,0.318418856
58836892,0.004725362,0.6,,1.3,0.3,0.5,0.073433262,0.103285735
713187660123217920,0.006431293,3.6,,1.7,1.1,3.2,0.135582577,0.128515834
274763535,,,,,,,,
2231584570,0.004725362,0.7,,1.1,1.5,0.3,0.045343501,0.103285735
311692649,0.003116818,0.5,,0.7,1.4,1.1,0.06783457,0.070892573
64938395,0.004725362,0.9,,0.8,1.5,0.8,0.057807183,0.103285735
1695841352,0.005778301,4.5,,1.1,1.5,4.5,0.100309357,0.119569867
455959611,0.002910297,4.2,,1.1,1.1,4.7,0.108277007,0.065655562
1020777962,0.026940289,4.5,,1.7,3.8,3.7,0.723800247,0.283782475
3233851462,0.003116818,0.5,,0.9,2.2,0.3,0.057807183,0.070892573
26342471,0.00521331,1.2,,0.6,1.7,1.8,0.041789835,0.111167191
2808653356,0.00272963,0.4,,1,0.3,0.2,0.041789835,0.060780114
15783150,0.002571044,0.6,,0.7,0.4,0.6,0.030068974,0.056244912
29476858,,,,,,,,
21962442,0.009037049,0.9,,1.5,0.9,0.5,0.193749479,0.158817464
3304426444,,,,,,,,
61604640,0.002198441,0.4,,0.5,0.4,0.6,0.021561509,0.044478832
150483415,0.003353677,0.7,,0.8,1.2,1.4,0.053331281,0.076513107
277722769,,,,,,,,
55163750,0.018599227,4.7,,2.3,4.2,4.5,0.631054837,0.236336911
2156218140,0.00521331,1.2,,1.1,3.3,1.7,0.207427967,0.111167191
3084647167,0.003116818,0.2,,0.4,0.5,0.2,0.025471598,0.070892573
360252737,0.007183846,0.7,,0.4,0.8,0.9,0.041789835,0.13802619
118603693,0.003940624,0.7,,0.3,1,0.6,0.041789835,0.088995156
40638230,0.012907437,4.3,,1.5,1.2,4,0.269102246,0.194667737
28262061,0.003353677,0.6,,0.8,0.9,0.6,0.025471598,0.076513107
22176444,,,,,,,,
19455124,,,,,,,,
255288878,,,,,,,,
33029207,0.002307921,1.2,,0.6,1.9,1,0.041789835,0.048113666
709081168084393985,0.005778301,0.3,,0.4,0.9,0.7,0.06783457,0.119569867
35235183,0.005778301,0.6,,1,2.1,0.4,0.06783457,0.119569867
890495882,0.014565852,3.7,,2.1,2.5,2.9,0.116795374,0.207905573
18917246,0.067479061,0.6,,0.5,0.8,0.8,0.286212062,0.433677434
3062437901,0.002431366,0.3,,0.6,0.4,0.5,0.023437101,0.052029366
29567850,0.002571044,0.6,,0.8,0.5,1.6,0.045343501,0.056244912
25243796,0.002307921,0.8,,0.4,0.5,0.7,0.019832967,0.048113666
768101755053899776,,,,,,,,
2249818813,0.03867703,2.7,,1.6,4.3,3.2,0.236883777,0.336555195
408791094,0.003626193,0.2,,0.8,0.4,0.2,0.053331281,0.082539663
180206676,0.004725362,0.2,,0.4,0.5,0.2,0.06783457,0.103285735
2322652071,0.002013937,0.5,,0.3,0.3,0.4,0.030068974,0.037980136
254596897,0.005778301,1.6,,1.2,4.8,0.7,0.06783457,0.119569867
26342471,0.00521331,1.2,,0.6,1.7,1.8,0.041789835,0.111167191
1280203669,0.002431366,0.4,,0.4,0.4,0.2,0.027677698,0.052029366
53886780,0.002307921,0.6,,0.5,1.1,2.3,0.035465933,0.048113666
3300469492,0.008048111,0.3,,0.6,0.5,0.3,0.041789835,0.148120708
1363049130,0.003626193,0.3,,0.9,0.4,0.3,0.079454653,0.082539663
717131676,0.002198441,0.4,,0.5,1.1,0.3,0.03265991,0.044478832
61329823,0.001865505,0.3,,0.5,0.3,1.1,0.023437101,0.032398755
991732430,0.002910297,1.8,,0.9,0.8,3.8,0.06783457,0.065655562
1220379144,0.003940624,0.4,,1.4,0.3,0.5,0.053331281,0.088995156
21469302,0.003940624,0.4,,0.7,0.4,0.2,0.035465933,0.088995156
116734678,0.002307921,0.4,,0.6,0.3,0.4,0.035465933,0.048113666
789779815427665924,,,,,,,,
357706824,,,,,,,,
763921271604195328,,,,,,,,
24055603,,,,,,,,
93866260,0.00430424,2.6,,1,1.1,1.9,0.125889289,0.095902762
345493657,0.004725362,0.6,,1.4,0.8,0.7,0.049183848,0.103285735
450052764,0.002431366,0.5,,1.1,2.3,1.1,0.038503445,0.052029366
3735718637,,,,,,,,
274683355,0.002198441,2.9,,0.7,0.6,0.8,0.038503445,0.044478832
587996022,,,,,,,,
19408886,0.002307921,0.4,,0.7,0.3,0.3,0.03265991,0.048113666
1450422866,0.007183846,0.3,,1,1.7,0.3,0.079454653,0.13802619
614880981,0.00521331,0.8,,0.7,0.5,1.3,0.108277007,0.111167191
37454135,0.002198441,0.2,,0.3,0.6,0.3,0.023437101,0.044478832
706576623739338752,0.048615291,2.4,,1.5,2.6,2.8,0.156855103,0.374266788
80711020,0.006431293,1.9,,0.8,0.8,1.9,0.100309357,0.128515834
1045789716,0.00272963,1.2,,0.5,1.2,1.2,0.023437101,0.060780114
47246767,0.002571044,0.2,,0.4,0.3,0.3,0.038503445,0.056244912
18873165,0.006431293,0.5,,1,0.8,1.7,0.092866954,0.128515834
2468068772,0.00430424,0.5,,0.8,2.1,1.1,0.100309357,0.095902762
2851824215,0.011448498,0.7,,0.9,1.3,0.4,0.092866954,0.182079031
352421634,0.011448498,1.2,,1.5,0.7,0.9,0.057807183,0.182079031
2744931285,0.002910297,0.4,,0.5,0.4,0.3,0.041789835,0.065655562
2945011552,0.002307921,0.9,,0.5,1.5,0.4,0.062633878,0.048113666
999074934,,,,,,,,
581828430,0.016452305,2.2,,1.4,3.2,1.5,0.322306022,0.221795688
116439951,,,,,,,,
43161403,0.011448498,2.1,,1,1.2,1,0.156855103,0.182079031
144212764,0.016452305,1.1,,1.2,1,0.5,0.073433262,0.221795688
250951895,0.00430424,2,,1,1.3,1.8,0.06783457,0.095902762
23198450,0.104603479,3.5,,1.4,2.6,3.4,0.400861391,0.515643331
700820677583048704,,,,,,,,
313675516,,,,,,,,
284603087,0.010164988,1,,1,3.2,0.3,0.073433262,0.170132427
246412548,0.034358494,2.7,,4,2.3,3.9,0.125889289,0.318418856
3023028018,0.018599227,1.4,,1.6,1.7,2,0.156855103,0.236336911
876381,0.003353677,0.9,,0.9,1.2,3,0.027677698,0.076513107
1703201922,0.002307921,0.2,,0.4,0.4,0.4,0.025471598,0.048113666
1058350662,0.002571044,0.7,,0.7,0.8,1.6,0.053331281,0.056244912
117234075,0.002100996,0.8,,0.3,0.7,0.7,0.025471598,0.04110674
28718585,,,,,,,,
4822019044,0.003626193,0.3,,0.4,0.3,0.3,0.03265991,0.082539663
368673187,0.018599227,1.3,,1.9,1.3,1.5,0.360651907,0.236336911
1057583425,0.003116818,0.5,,0.6,1.3,0.4,0.025471598,0.070892573
87340597,,,,,,,,
2981541357,,,,,,,,
24528898,,,,,,,,
187951994,0.002910297,1.7,,0.5,1.1,0.9,0.062633878,0.065655562
39624347,0.002198441,1.4,,0.4,1.1,0.6,0.027677698,0.044478832
3864314052,0.004725362,1.3,,0.7,0.6,1.2,0.062633878,0.103285735
599106440,,,,,,,,
2178824387,0.010164988,1.8,,1.5,1.1,1.3,0.221806472,0.170132427
41131494,0.010164988,0.4,,1.6,2.4,0.7,0.085924,0.170132427
292893270,0.026940289,0.4,,0.9,1,1.5,0.073433262,0.283782475
3224436444,0.002431366,4.3,,1,1.3,1.5,0.062633878,0.052029366
423156406,0.005778301,0.6,,0.4,1.1,0.6,0.079454653,0.119569867
37693721,0.002431366,1,,0.6,0.8,1,0.041789835,0.052029366
730873015269883904,0.003940624,0.2,,0.5,0.3,0.3,0.092866954,0.088995156
117301430,0.003626193,0.8,,0.7,0.8,0.9,0.057807183,0.082539663
789265108547489793,0.083851147,4.5,,1.2,1.3,4.3,0.706420424,0.474488541
31527373,0.00430424,1.3,,1.9,0.7,3.5,0.049183848,0.095902762
274249341,0.003626193,0.8,,0.3,2,1.8,0.023437101,0.082539663
280124143,0.012907437,1.7,,2.8,0.8,3.4,0.168473166,0.194667737
106654269,0.002100996,0.4,,0.5,0.3,0.6,0.025471598,0.04110674
330243005,0.00430424,4.3,,1,1.2,3.8,0.125889289,0.095902762
463027671,0.00430424,0.6,,0.9,1.1,0.2,0.049183848,0.095902762
3103360065,0.002100996,0.7,,0.3,1.2,1.9,0.025471598,0.04110674
20950910,0.002198441,0.3,,0.6,0.8,0.6,0.03265991,0.044478832
4634872899,0.016452305,2.1,,2,0.5,3.9,0.322306022,0.221795688
757684524012691456,0.012907437,1.7,,2.3,0.8,1.5,0.135582577,0.194667737
2580875586,,,,,,,,
793929703031726080,0.007183846,2,,0.7,0.8,2.3,0.207427967,0.13802619
59757778,0.00430424,1.5,,0.4,1.5,1,0.06783457,0.095902762
4047312622,,,,,,,,
700144038,,,,,,,,
446945572,0.00430424,1.2,,0.9,0.5,0.4,0.053331281,0.095902762
306220247,,,,,,,,
621254053,0.001865505,0.5,,0.3,0.3,0.4,0.035465933,0.032398755
1834011878,0.002100996,0.5,,0.5,0.7,0.5,0.041789835,0.04110674
164062964,0.002910297,4.3,,0.8,1.2,3.6,0.06783457,0.065655562
584381325,,,,,,,,
89364475,0.003626193,0.5,,1,1.7,0.5,0.100309357,0.082539663
292537980,,,,,,,,
191299953,0.002910297,1.3,,0.8,0.5,0.8,0.062633878,0.065655562
22131945,,,,,,,,
740153695694913536,0.00521331,1.2,,0.4,1,1.8,0.116795374,0.111167191
20897174,0.002013937,0.5,,0.5,0.4,0.6,0.03265991,0.037980136
347927563,0.003353677,0.7,,0.7,1.9,0.3,0.053331281,0.076513107
22236427,0.001801868,0.3,,0.5,0.5,0.3,0.021561509,0.029913823
460271588,0.014565852,1.5,,1.1,1.1,1.4,0.135582577,0.207905573
286042655,,,,,,,,
777525999173046273,,,,,,,,
363943087,0.003116818,0.4,,0.4,0.5,1.9,0.053331281,0.070892573
2870528508,0.002307921,0.6,,0.8,0.9,2.4,0.053331281,0.048113666
1400958420,0.030450445,1.1,,2.3,0.8,1.9,0.108277007,0.300816712
261100296,0.008048111,2.4,,1,0.5,3.6,0.180767269,0.148120708
470051717,0.002431366,1.6,,1.4,1.2,1,0.092866954,0.052029366
475394818,,,,,,,,
902207287,0.004725362,1.5,,0.8,1.1,0.5,0.03265991,0.103285735
84098593,0.003116818,0.9,,1,0.7,0.6,0.049183848,0.070892573
1321143487,0.010164988,3.8,,0.5,0.3,4.6,0.193749479,0.170132427
628028580,0.00430424,0.6,,0.8,0.8,0.6,0.062633878,0.095902762
29132213,0.002013937,0.6,,0.4,0.6,0.7,0.045343501,0.037980136
161787430,0.093608419,1.1,,2.1,1,2.6,0.484864583,0.495057564
734466835723100160,,,,,,,,
736704479328935936,0.009037049,0.8,,1,0.8,0.6,0.145897657,0.158817464
281387863,0.003353677,0.3,,0.5,1.2,0.3,0.053331281,0.076513107
2770996365,,,,,,,,
55313850,0.011448498,0.4,,1,1.9,0.4,0.180767269,0.182079031
716005020,,,,,,,,
620732694,0.002013937,3.9,,0.2,0.6,1.1,0.025471598,0.037980136
81747998,0.002571044,0.9,,0.4,3.1,1.2,0.079454653,0.056244912
544376507,,,,,,,,
3048022899,0.003940624,0.8,,0.7,1.9,0.5,0.053331281,0.088995156
728572771001753600,0.1803031,1.1,,2.3,3.2,3.3,0.669827127,0.616428063
46368998,,,,,,,,
257119236,0.001865505,0.3,,0.4,0.9,0.3,0.025471598,0.032398755
38434400,0.00272963,2.2,,1.9,0.7,2.1,0.03265991,0.060780114
52176091,0.005778301,0.5,,0.8,3.4,0.4,0.168473166,0.119569867
1145995544,0.016452305,0.4,,1,0.7,0.4,0.125889289,0.221795688
2792664596,0.002910297,2.3,,0.6,2.4,2,0.073433262,0.065655562
3352547632,0.010164988,2.2,,1.2,3,1.3,0.116795374,0.170132427
222002131,0.002198441,2.3,,0.7,2.6,1.7,0.057807183,0.044478832
3167633349,,,,,,,,
2665837258,0.007183846,0.5,,0.7,1,0.3,0.041789835,0.13802619
29340800,,,,,,,,
14070075,0.034358494,2.6,,1.4,1.7,2.5,0.360651907,0.318418856
140964981,0.060559163,0.7,,0.8,0.8,0.9,0.380551857,0.413569898
4781610914,0.116935967,2.6,,1.7,2.2,0.9,0.207427967,0.536176148
96215077,0.002100996,0.8,,0.3,1,0.6,0.030068974,0.04110674
758803143119376384,,,,,,,,
252185784,0.002431366,0.4,,0.6,0.5,0.4,0.027677698,0.052029366
349214728,,,,,,,,
18570059,0.116935967,2.9,,0.9,2.1,4.2,0.669827127,0.536176148
1358122993,0.011448498,4,,1.4,3.7,4.2,0.145897657,0.182079031
295993942,,,,,,,,
99600214,0.005778301,0.8,,0.8,0.5,0.5,0.027677698,0.119569867
464766175,0.011448498,0.7,,0.9,0.8,1.7,0.100309357,0.182079031
596493504,0.002431366,1,,0.6,0.5,1.1,0.035465933,0.052029366
1618456526,0.002100996,1.1,,0.4,1,0.5,0.030068974,0.04110674
382816622,0.001935846,0.3,,0.3,0.7,0.2,0.025471598,0.035082643
782388322551205888,0.005778301,0.4,,1,0.9,0.5,0.079454653,0.119569867
330097567,0.00430424,0.9,,0.7,1.3,1.3,0.100309357,0.095902762
2499347767,,,,,,,,
249668368,0.003940624,0.6,,0.6,2.1,0.3,0.06783457,0.088995156
34105532,0.002910297,0.7,,0.6,3.7,1.5,0.062633878,0.065655562
773933016683048960,0.00430424,1.4,,0.9,2.2,3.3,0.135582577,0.095902762
493702427,0.005778301,1.2,,0.6,0.6,0.9,0.079454653,0.119569867
4790456761,0.004725362,0.7,,1,0.7,0.3,0.145897657,0.103285735
209650389,0.034358494,2.9,,0.7,1.7,0.8,0.380551857,0.318418856
100337867,0.002198441,2.4,,0.4,2.6,2.6,0.03265991,0.044478832
169246058,0.003626193,0.4,,0.4,0.7,1.1,0.053331281,0.082539663
387483002,0.026940289,1.8,,1.4,3.3,1,0.193749479,0.283782475
14600412,0.00430424,0.8,,0.8,0.9,1.5,0.062633878,0.095902762
15923576,0.002198441,0.6,,0.5,0.5,0.3,0.023437101,0.044478832
1117734564,,,,,,,,
1644256662,0.002910297,0.6,,0.9,0.9,1.1,0.03265991,0.065655562
2887995893,0.016452305,1.8,,0.9,0.6,2.7,0.168473166,0.221795688
85455021,0.001935846,1.8,,0.3,0.4,1.6,0.041789835,0.035082643
1520133486,,,,,,,,
250450365,0.355154311,4.4,,2,2.8,2.9,0.813871734,0.740959859
346683943,0.002571044,1.7,,0.7,0.8,2.1,0.041789835,0.056244912
154766777,,,,,,,,
143515420,0.002307921,0.8,,0.4,1.3,1.5,0.027677698,0.048113666
310449615,0.002013937,2.5,,0.4,1,1.5,0.021561509,0.037980136
3750948135,0.00430424,0.2,,0.5,1.3,0.2,0.062633878,0.095902762
309554814,0.009037049,1.8,,0.8,2.2,4.2,0.135582577,0.158817464
40339080,0.001744033,0.3,,0.3,0.6,0.5,0.030068974,0.027614043
2393298264,0.002571044,0.6,,0.7,0.4,0.3,0.027677698,0.056244912
387266509,0.010164988,2.4,,0.6,1.1,2.6,0.125889289,0.170132427
1453832234,0.018599227,0.8,,2.3,0.4,0.8,0.108277007,0.236336911
777118951025307649,0.012907437,2.8,,1.4,0.9,4.3,0.322306022,0.194667737
3036023060,,,,,,,,
865108772,0.002100996,0.2,,0.3,0.3,0.8,0.03265991,0.04110674
786701587,0.034358494,3.2,,1.1,1.3,1.5,0.442451481,0.318418856
61981439,,,,,,,,
791800135944704000,,,,,,,,
3253762132,0.026940289,4.2,,1.5,3.5,3.4,0.421517259,0.283782475
74812053,0.009037049,1.1,,0.8,1.9,0.6,0.035465933,0.158817464
332323329,0.002198441,0.3,,0.4,0.6,0.3,0.03265991,0.044478832
11354952,0.005778301,0.4,,1.1,1.5,0.5,0.145897657,0.119569867
2736072628,,,,,,,,
975383556,0.00430424,0.5,,1,2.1,0.5,0.062633878,0.095902762
23399789,0.002100996,0.2,,0.9,0.3,0.2,0.025471598,0.04110674
3783921674,0.005778301,0.6,,0.7,0.8,0.5,0.06783457,0.119569867
261093812,0.002431366,0.4,,0.6,0.9,0.4,0.021561509,0.052029366
341596402,0.005778301,1.1,,1.1,1,0.6,0.038503445,0.119569867
40040401,0.003116818,0.7,,0.7,0.9,1.5,0.062633878,0.070892573
1925567616,0.001935846,0.5,,0.4,0.7,0.4,0.053331281,0.035082643
39142098,0.130655984,2.9,,1.2,0.5,2.4,0.527496824,0.556587037
15841267,0.00272963,4.2,,0.6,0.8,4.8,0.057807183,0.060780114
3283866746,0.009037049,1.3,,0.6,0.8,2,0.180767269,0.158817464
282345108,0.00521331,0.8,,1.3,0.6,0.7,0.125889289,0.111167191
2439525686,,,,,,,,
125030665,,,,,,,,
204933551,0.002100996,0.6,,0.4,0.8,0.4,0.03265991,0.04110674
1289072671,0.002013937,0.9,,0.6,0.9,0.8,0.053331281,0.037980136
13888282,0.00272963,1.4,,0.9,2.8,2.7,0.06783457,0.060780114
3296457758,0.003353677,0.4,,0.3,0.3,0.2,0.038503445,0.076513107
2654142514,0.006431293,0.8,,2,0.4,1.1,0.038503445,0.128515834
163566760,,,,,,,,
2310552202,0.002198441,1,,0.3,0.4,0.5,0.025471598,0.044478832
93706943,0.003626193,2.7,,0.5,0.5,1.5,0.038503445,0.082539663
