id,retweeted_status.id,created_at,retweeted_status.created_at,retweeted_status.user.screen_name,retweeted_status.user.id,retweeted_status.user.friends_count,retweeted_status.user.followers_count,user.screen_name,user.id,user.friends_count,user.followers_count,retweeted_status.retweet_count,retweeted_status.text
795983293917396992,795982963909357568,Tue Nov 08 13:36:20 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135778,sethreznik,29476858,771,560,22,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983300137537536,795982963909357568,Tue Nov 08 13:36:22 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135778,jwpsr,21962442,1061,535,23,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983371390304257,795982963909357568,Tue Nov 08 13:36:39 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,215ProSports,3304426444,345,44,26,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983377153331202,795982963909357568,Tue Nov 08 13:36:40 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,ChrisMySass,61604640,588,1880,27,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983403577286657,795982963909357568,Tue Nov 08 13:36:46 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135769,fher24,150483415,463,393,28,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983416055341057,795982963909357568,Tue Nov 08 13:36:49 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135769,one9oo6,277722769,907,286,30,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983423416496128,795982963909357568,Tue Nov 08 13:36:51 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,bella_99,55163750,1181,956,31,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983427774205952,795982963909357568,Tue Nov 08 13:36:52 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135769,susmitchakrabo1,2156218140,1225,7765,32,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983446359375872,795982963909357568,Tue Nov 08 13:36:56 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,Kevwoodh24,3084647167,717,259,33,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983451820171264,795982963909357568,Tue Nov 08 13:36:58 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135769,IAmWanheda307,360252737,1493,235,34,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983453657374720,795982963909357568,Tue Nov 08 13:36:58 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,MattEPannell,118603693,1488,580,35,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983454961737729,795982963909357568,Tue Nov 08 13:36:58 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135769,0427curie,40638230,594,110,37,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983458396815361,795982963909357568,Tue Nov 08 13:36:59 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135769,alainemiranda,28262061,1265,748,39,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983458040508417,795982963909357568,Tue Nov 08 13:36:59 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,lildg54,22176444,338,779,39,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983465065971713,795982963909357568,Tue Nov 08 13:37:01 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,Brendan_Surrey,19455124,1435,1770,41,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983469172183040,795982963909357568,Tue Nov 08 13:37:02 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,wiley_cyrus_,255288878,516,673,42,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983482690408448,795982963909357568,Tue Nov 08 13:37:05 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,mgmoody42,33029207,806,166,42,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983487853596673,795982963909357568,Tue Nov 08 13:37:06 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,C_R_MacDonald,709081168084393985,441,252,43,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983491183902720,795982963909357568,Tue Nov 08 13:37:07 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,ashyken,35235183,219,113,44,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983497458569216,795982963909357568,Tue Nov 08 13:37:09 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,JtheKruse,890495882,1479,222,45,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983501740736512,795982963909357568,Tue Nov 08 13:37:10 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135769,mclarent,18917246,349,190,46,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983508292255744,795982963909357568,Tue Nov 08 13:37:11 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135769,Poseidon8734,3062437901,937,707,47,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983520317534208,795982963909357568,Tue Nov 08 13:37:14 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,TiffanyRMelvin,29567850,154,47,48,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983522699866112,795982963909357568,Tue Nov 08 13:37:15 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,CALLReza,25243796,2301,1104,49,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983528731283456,795982963909357568,Tue Nov 08 13:37:16 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,justcabello1997,768101755053899776,180,446,50,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983529326866432,795982963909357568,Tue Nov 08 13:37:16 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,dallas__4968,2249818813,742,743,51,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983533634441216,795982963909357568,Tue Nov 08 13:37:17 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,freebeergregg,408791094,442,15965,52,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983543209967616,795982963909357568,Tue Nov 08 13:37:20 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135780,InfamousTioAL,180206676,2152,1382,53,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
