"_id",created_at,id,retweeted_status.created_at,retweeted_status.id,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.id,retweeted_status.user.screen_name,text,user.followers_count,user.friends_count,user.id,user.screen_name
5821dc57369b22002482047c,Tue Nov 08 14:08:24 +0000 2016,795991362067976193,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,17,5145,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",431,163,741996562969165824,OneChuckFinley
5821dc58369b2200248204a4,Tue Nov 08 14:08:25 +0000 2016,795991365788270592,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,18,5145,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",50,62,4467696374,Alexmzim
5821dc5c369b220024820528,Tue Nov 08 14:08:29 +0000 2016,795991383857315840,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,19,5145,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",46,72,1180050360,NicBaddAss
5821dc67369b22002482068a,Tue Nov 08 14:08:40 +0000 2016,795991430191837184,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,20,5145,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",49,95,384611494,Baygull123
5821dc6c369b22002482071f,Tue Nov 08 14:08:45 +0000 2016,795991450227982336,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,21,5145,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",66,116,84641730,samyobox
5821dc6e369b220024820750,Tue Nov 08 14:08:47 +0000 2016,795991458448691201,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,22,5146,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",26831,370,1912576375,IamQueenAri
5821dc70369b22002482077e,Tue Nov 08 14:08:48 +0000 2016,795991464413110272,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,23,5145,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",3618,1301,188528190,KapisEvil
5821dc73369b2200248207fc,Tue Nov 08 14:08:52 +0000 2016,795991479466528769,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,24,5145,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",2222,2760,389597124,JasonDunn67
5821dc79369b2200248208a9,Tue Nov 08 14:08:57 +0000 2016,795991503256621057,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,26,5145,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",8,10,3930170479,CaptNathan16346
5821dc7e369b220024820936,Tue Nov 08 14:09:02 +0000 2016,795991523451994114,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,27,5146,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",3850,4382,1393353115,AngeleesOrtiz
