user_id,cap,content_score,friend_score,network_score,sentiment_score,english_score,universal_score
787132640252010496,0.023811568542435598,2.4,3.0,2.2,4.3,0.380551857066998,0.26734400306340506
2228307396,0.011448498001345467,2.8,1.4,0.9,2.3,0.16847316644464133,0.18207903130928815
4240100074,0.0043042404804791,0.5,0.5,1.0,1.3,0.10030935716061677,0.09590276214117437
746054471621484544,0.021041094138717433,4.0,3.0,2.2,1.8,0.5697317833219949,0.25152334764543
759154706270851072,0.4458600035841122,2.9,2.4,4.3,4.4,0.7719542327261165,0.7855076010068447
780964902659817472,0.01859922727344653,3.7,0.6,0.8,3.9,0.13558257714003935,0.23633691139538376
2638247079.0,,,,,,,
774995469860737025,0.9420072835844814,4.5,4.6,4.6,3.0,0.9298669453061029,0.9726400642588404
766275101650223104,0.09360841931572118,4.4,2.0,0.6,4.6,0.6698271269837389,0.49505756400804624
2864283080,0.009037049400998034,3.6,1.1,2.2,3.8,0.4848645828256039,0.15881746424200632
779509000060764160,0.921247939164411,4.7,4.6,4.0,4.6,0.9632891569033074,0.9635539418518627
730063070278619136,0.005213309669283597,3.3,1.2,1.1,2.2,0.16847316644464133,0.11116719108518804
7.759920545895096e+17,,,,,,,
1488845227,0.0043042404804791,1.2,2.4,0.3,1.7,0.25265321740844954,0.09590276214117437
1051363344.0,,,,,,,
3191074887,0.03435849422907052,4.3,0.5,1.5,3.3,0.46359219069702307,0.3184188561317807
366713994,0.002571043998532308,0.7,0.8,1.7,0.7,0.08592399976334196,0.05624491210051878
764555828129071104,0.0043042404804791,0.9,0.8,0.9,0.6,0.07343326191269153,0.09590276214117437
4462575454,0.08385114734671234,1.5,2.3,2.2,2.5,0.28621206238390096,0.4744885412906753
2483879437,0.04342086940555935,3.3,1.5,1.7,4.6,0.5697317833219949,0.3551862170861128
343065472.0,,,,,,,
322898914,0.002571043998532308,3.8,1.6,1.9,2.6,0.038503444945083086,0.05624491210051878
765385869180145664,0.003116817556886547,4.2,0.7,1.3,4.2,0.16847316644464133,0.07089257330076087
734954246572019712,0.7034811724817885,4.8,4.6,4.0,4.8,0.9713426487044083,0.891232627826509
1051579448,0.003940623559956331,2.5,1.0,0.9,3.1,0.10827700665723966,0.08899515596679244
778198407798202368,0.611464313617347,4.0,1.5,3.3,3.0,0.8701191997119831,0.8572017689651149
4761040160,0.35515431108103784,4.8,4.6,4.6,4.7,0.8794616900661685,0.7409598586102422
758319042222587904,0.007183846426565749,1.1,0.6,0.5,0.4,0.06263387811083082,0.13802618960216584
713832622808412160,0.16230758351843008,0.7,0.9,0.8,1.1,0.5697317833219949,0.5967761711282766
1923448716,0.14577620294303828,3.8,1.5,1.7,4.2,0.36065190656573104,0.5768086562548855
754691464399958017,0.7312451284333126,4.5,4.2,4.1,4.4,0.9040736566800007,0.9006136298589785
331053874.0,,,,,,,
2741648226,0.3254134937439308,3.3,2.0,1.8,3.0,0.7064204238004218,0.7248402160410153
374050196.0,,,,,,,
710976236592431105,0.007183846426565749,0.6,0.7,0.9,0.2,0.05780718298413593,0.13802618960216584
767699858669133826,0.005778300973814037,4.4,4.6,1.2,4.6,0.40086139116347386,0.11956986651967942
2875436305,0.0018018679035892223,0.3,0.3,0.5,0.3,0.038503444945083086,0.029913823351421277
277838921,0.004725361816828223,2.4,1.1,1.1,1.8,0.09286695366967546,0.10328573467123618
7.631150688547717e+17,,,,,,,
1646281842,0.014565852401308765,1.6,1.4,0.4,0.4,0.1807672693005155,0.2079055732880228
3327376941,0.011448498001345467,1.1,0.9,3.1,0.9,0.10030935716061677,0.18207903130928815
72661446,0.003940623559956331,3.3,0.7,0.8,3.5,0.05333128056896264,0.08899515596679244
1884714037,0.004725361816828223,2.3,2.0,1.8,2.2,0.08592399976334196,0.10328573467123618
793987791168434176,0.22121616027906205,4.7,2.8,3.8,4.3,0.8794616900661685,0.6545596461071505
4819582738,0.0029102973297387607,4.1,2.5,1.1,4.6,0.09286695366967546,0.06565556198004287
256450825,0.0027296301902785666,0.4,0.3,0.4,0.5,0.030068974042493608,0.06078011352084069
214934724,0.0023079208238384373,1.2,0.7,0.8,0.8,0.03546593341354506,0.04811366570775446
1047932376.0,,,,,,,
701857417911541760,0.09360841931572118,1.1,1.3,3.2,3.8,0.5487020083865324,0.49505756400804624
3076716591,0.04861529098537897,4.7,3.8,4.4,4.7,0.8601677371481485,0.3742667881821624
1338568008,0.014565852401308765,0.8,1.0,0.6,0.9,0.19374947883382485,0.2079055732880228
2750494505,0.0033536770167744536,1.9,1.9,2.7,2.1,0.05333128056896264,0.07651310672792835
601954505.0,,,,,,,
1482492516,0.003626193494014071,0.7,0.6,0.8,1.4,0.04918384795249982,0.0825396626774012
741532795059765248,0.005778300973814037,4.4,1.6,2.9,4.6,0.42151725890598224,0.11956986651967942
1442723838,0.06747906081432216,4.8,1.2,2.9,3.4,0.44245148142042123,0.4336774335329319
75037568.0,,,,,,,
4033267697,0.021041094138717433,4.7,1.3,1.9,4.6,0.23688377651035014,0.25152334764543
1349644184.0,,,,,,,
112104069.0,,,,,,,
2287796550,0.004725361816828223,2.8,0.6,1.1,0.6,0.07343326191269153,0.10328573467123618
421152181,0.004725361816828223,0.6,1.6,2.2,0.4,0.09286695366967546,0.10328573467123618
7.883696491172127e+17,,,,,,,
2380671912,0.009037049400998034,0.7,1.4,1.6,1.5,0.10827700665723966,0.15881746424200632
4818993856,0.012907437350993261,3.4,1.2,3.1,3.8,0.19374947883382485,0.19466773728450495
4094246541,0.003116817556886547,3.6,0.4,1.7,4.6,0.1167953743919475,0.07089257330076087
468955330.0,,,,,,,
2337724312,0.004725361816828223,0.7,0.6,1.0,0.4,0.07343326191269153,0.10328573467123618
2867618634,0.24446254495086733,3.6,1.2,1.9,4.8,0.7405291005715704,0.6729387518017023
390959152.0,,,,,,,
3248423647,0.0033536770167744536,1.3,1.3,1.5,2.6,0.07343326191269153,0.07651310672792835
425479183,0.002571043998532308,2.2,1.2,1.3,2.4,0.12588928944948308,0.05624491210051878
4019044937,0.04342086940555935,1.4,0.9,3.4,0.6,0.40086139116347386,0.3551862170861128
66707250,0.0024313661894161103,1.7,0.6,1.1,1.7,0.06783456974919343,0.05202936550695904
860614874,0.030450444848239933,0.5,1.5,1.9,0.7,0.08592399976334196,0.300816711527256
711792497291202560,0.003626193494014071,1.2,0.7,0.5,1.7,0.08592399976334196,0.0825396626774012
3577356912.0,,,,,,,
161975815,0.008048111281043234,0.3,0.8,1.9,0.8,0.25265321740844954,0.14812070832967303
1869992185.0,,,,,,,
2258466897,0.004725361816828223,0.4,0.6,0.4,0.2,0.027677698437753848,0.10328573467123618
4433940555,0.0021984408773070953,3.8,0.6,0.5,4.7,0.05780718298413593,0.04447883217419818
839382708.0,,,,,,,
2711108902,0.0021984408773070953,4.0,0.7,1.9,2.6,0.1167953743919475,0.04447883217419818
29188590,0.14577620294303828,0.7,2.7,2.2,0.6,0.5697317833219949,0.5768086562548855
2606157108,0.0024313661894161103,1.4,1.5,0.3,2.6,0.07343326191269153,0.05202936550695904
793101325,0.0020139366550120737,0.2,0.4,0.3,0.3,0.027677698437753848,0.037980136466376074
181551811,0.003940623559956331,3.9,0.8,3.3,1.0,0.07343326191269153,0.08899515596679244
2685989557,0.0021984408773070953,0.4,0.3,0.5,1.1,0.038503444945083086,0.04447883217419818
4652517372,0.0020139366550120737,2.8,0.6,2.9,2.6,0.05780718298413593,0.037980136466376074
326620347,0.007183846426565749,0.8,0.8,0.8,0.4,0.03546593341354506,0.13802618960216584
64950957.0,,,,,,,
947831430,0.06747906081432216,2.3,4.4,4.1,2.6,0.44245148142042123,0.4336774335329319
3071635290,0.005778300973814037,0.5,0.7,0.7,0.4,0.16847316644464133,0.11956986651967942
2872408066,0.003940623559956331,4.5,1.8,2.5,4.2,0.10827700665723966,0.08899515596679244
7.228446923631288e+17,,,,,,,
906352472,0.0016427961109141277,1.7,0.3,0.4,3.1,0.03546593341354506,0.023518771605329593
3174125793.0,,,,,,,
7.584216318658068e+17,,,,,,,
3074526092,0.05430460982015838,2.1,2.1,0.8,1.3,0.25265321740844954,0.393746460000491
266083892.0,,,,,,,
633430061,0.0033536770167744536,1.6,0.8,0.8,0.6,0.06783456974919343,0.07651310672792835
4206980294,0.0027296301902785666,0.5,0.4,0.4,2.0,0.03546593341354506,0.06078011352084069
3057938921.0,,,,,,,
783786963237277696,0.05430460982015838,2.8,1.6,1.1,1.0,0.40086139116347386,0.393746460000491
2444840150,0.04861529098537897,1.1,1.3,0.9,1.0,0.5061919589474342,0.3742667881821624
2432794352,0.03435849422907052,0.9,0.8,0.9,2.0,0.22180647190550215,0.3184188561317807
232388934,0.002571043998532308,3.8,0.6,0.7,1.5,0.06263387811083082,0.05624491210051878
2888522728.0,,,,,,,
2499448638,0.07519311407072778,4.3,2.1,4.4,2.6,0.7405291005715704,0.4540057291614072
361456406,0.0023079208238384373,4.1,0.6,1.8,2.9,0.07945465272791494,0.04811366570775446
2679788407,0.008048111281043234,2.1,1.2,0.9,0.8,0.06783456974919343,0.14812070832967303
2608165555.0,,,,,,,
297226333,0.0029102973297387607,0.2,0.8,0.6,0.2,0.045343501437382056,0.06565556198004287
246949623,0.003940623559956331,3.7,1.2,2.4,2.6,0.1167953743919475,0.08899515596679244
995447899.0,,,,,,,
2339115608,0.0019358455432931132,3.1,0.8,0.5,3.7,0.05333128056896264,0.03508264339315584
632671193,0.0018655051726169808,0.6,0.4,0.5,0.8,0.0215615093045025,0.032398754737074244
3068629083,0.0018655051726169808,0.7,0.8,0.5,2.0,0.03265990956683609,0.032398754737074244
775627929950629888,0.7530520644745743,4.9,2.8,4.6,4.5,0.9178878139616656,0.9077465473786139
1179525684.0,,,,,,,
240733133,0.007183846426565749,1.5,1.4,1.1,0.7,0.06783456974919343,0.13802618960216584
3038871341,0.005778300973814037,1.5,1.8,0.6,3.8,0.20742796687543463,0.11956986651967942
4756582457,0.10460347933351005,4.5,4.6,4.4,4.8,0.6310548366819692,0.5156433305312286
743430382478106625,0.0020139366550120737,0.9,0.5,0.5,0.7,0.01983296694956421,0.037980136466376074
1420580060.0,,,,,,,
98387881,0.0033536770167744536,3.5,2.9,0.8,3.6,0.07945465272791494,0.07651310672792835
708566335949766656,0.006431292840898396,1.4,1.5,0.5,1.7,0.10030935716061677,0.1285158337598371
2446695469,0.0020139366550120737,1.3,1.1,1.2,4.0,0.04918384795249982,0.037980136466376074
2192194059,0.0033536770167744536,0.4,0.4,0.3,0.4,0.023437100509770627,0.07651310672792835
2907978093,0.005778300973814037,1.0,0.9,0.5,2.1,0.10030935716061677,0.11956986651967942
4343342669,0.005778300973814037,0.4,0.5,0.3,0.5,0.10030935716061677,0.11956986651967942
4090353340.0,,,,,,,
7.953904524218163e+17,,,,,,,
3371249541,0.003626193494014071,0.7,2.3,0.3,1.1,0.20742796687543463,0.0825396626774012
3020391376.0,,,,,,,
1038506935,0.003626193494014071,0.5,0.5,1.7,2.1,0.13558257714003935,0.0825396626774012
570181825,0.004725361816828223,2.2,0.9,1.0,1.5,0.1167953743919475,0.10328573467123618
2968237528,0.005778300973814037,3.7,0.7,1.3,2.1,0.1167953743919475,0.11956986651967942
542814705,0.38545888128841016,4.7,3.4,4.6,4.7,0.9040736566800007,0.7564524646655568
3644562734.0,,,,,,,
1439134080,0.0018655051726169808,1.7,0.4,0.9,1.5,0.0215615093045025,0.032398754737074244
4282127243,0.004725361816828223,2.2,0.8,1.5,2.7,0.19374947883382485,0.10328573467123618
2559047277,0.05430460982015838,1.7,1.4,0.6,0.5,0.23688377651035014,0.393746460000491
3305639867,0.0020139366550120737,0.5,0.8,0.9,0.3,0.03265990956683609,0.037980136466376074
373468633,0.030450444848239933,4.4,2.7,3.9,2.5,0.7565854729457974,0.300816711527256
631491792,0.06055916271173367,4.3,1.6,3.1,3.3,0.46359219069702307,0.413569897933165
2903038762,0.0018018679035892223,1.5,2.3,0.8,3.2,0.05780718298413593,0.029913823351421277
2890986769.0,,,,,,,
2332814591.0,,,,,,,
3814378636,0.9338800752142018,4.0,2.0,4.5,4.7,0.9688694437075864,0.9689171666559734
600424135.0,,,,,,,
2179792966,0.009037049400998034,1.6,0.5,0.6,2.4,0.40086139116347386,0.15881746424200632
1280565596.0,,,,,,,
798206114,0.0024313661894161103,1.1,0.4,0.4,1.5,0.04178983547133819,0.05202936550695904
780976299523178496,0.011448498001345467,0.5,0.9,2.1,1.1,0.05333128056896264,0.18207903130928815
99238190,0.0043042404804791,1.2,1.3,0.3,0.7,0.08592399976334196,0.09590276214117437
3251409307,0.03435849422907052,1.8,2.6,2.6,2.9,0.25265321740844954,0.3184188561317807
762928581013966848,0.003626193494014071,0.6,0.5,0.4,0.3,0.04178983547133819,0.0825396626774012
3091310848,0.002571043998532308,2.9,0.4,1.4,1.5,0.12588928944948308,0.05624491210051878
534539209,0.004725361816828223,0.6,0.4,1.0,0.6,0.10030935716061677,0.10328573467123618
229624060.0,,,,,,,
3184626150,0.35515431108103784,1.8,4.6,2.3,3.7,0.28621206238390096,0.7409598586102422
1287667790,0.0027296301902785666,0.5,0.7,0.8,0.3,0.03265990956683609,0.06078011352084069
121577353,0.0021009963244625067,0.4,0.4,0.9,0.4,0.038503444945083086,0.041106740219567735
2763982122.0,,,,,,,
3717778277,0.009037049400998034,0.2,0.9,0.6,0.6,0.16847316644464133,0.15881746424200632
459356630,0.0021009963244625067,0.6,0.5,0.9,0.3,0.030068974042493608,0.041106740219567735
175394816,0.005778300973814037,3.6,1.9,2.3,3.1,0.12588928944948308,0.11956986651967942
4161238042,0.008048111281043234,0.2,1.0,0.9,0.2,0.06783456974919343,0.14812070832967303
204048788,0.003626193494014071,0.4,0.7,0.3,0.3,0.04178983547133819,0.0825396626774012
733402669771972609,0.0029102973297387607,0.9,1.2,1.4,1.8,0.05333128056896264,0.06565556198004287
2440796573,0.0033536770167744536,1.5,1.4,1.4,1.1,0.030068974042493608,0.07651310672792835
1372172473,0.0017440333583248883,0.7,0.4,0.6,0.7,0.030068974042493608,0.027614042942260764
1646361182,0.002571043998532308,0.6,1.4,0.8,1.0,0.04178983547133819,0.05624491210051878
305402517,0.0021009963244625067,1.2,0.6,0.7,1.3,0.03546593341354506,0.041106740219567735
709828434185347072,0.026940288992638697,3.3,2.3,4.5,3.6,0.6698271269837389,0.28378247513569405
734344722366509056,0.04342086940555935,3.1,2.2,0.5,3.7,0.44245148142042123,0.3551862170861128
1398782738,0.006431292840898396,0.7,0.3,0.6,0.9,0.05780718298413593,0.1285158337598371
2285863596,0.030450444848239933,0.7,1.2,1.5,0.8,0.23688377651035014,0.300816711527256
2534706594,0.003116817556886547,2.6,0.9,0.6,2.7,0.06783456974919343,0.07089257330076087
3533848102,0.0033536770167744536,4.0,1.2,2.2,3.0,0.09286695366967546,0.07651310672792835
269570243.0,,,,,,,
103148626,0.06055916271173367,2.3,1.9,2.4,1.2,0.5487020083865324,0.413569897933165
3365818692.0,,,,,,,
3838767314.0,,,,,,,
3353078392,0.5591583735107447,3.6,3.0,4.4,3.2,0.5697317833219949,0.8358285757752799
4594314521,0.005778300973814037,3.1,0.5,1.8,3.4,0.07945465272791494,0.11956986651967942
2855327104,0.0020139366550120737,0.9,0.7,0.3,1.0,0.0215615093045025,0.037980136466376074
22162353,0.010164988287386762,1.2,1.0,1.7,0.3,0.04918384795249982,0.1701324265302999
745954763829874688,0.011448498001345467,3.0,0.8,0.9,3.0,0.12588928944948308,0.18207903130928815
110151484,0.0019358455432931132,3.3,0.4,0.8,2.0,0.027677698437753848,0.03508264339315584
333823882,0.10460347933351005,3.8,2.7,2.2,3.4,0.7565854729457974,0.5156433305312286
1026064651,0.8599563872510622,1.9,0.8,2.2,3.1,0.8794616900661685,0.9416190049861709
1460205842,0.005213309669283597,1.2,1.5,0.8,3.6,0.23688377651035014,0.11116719108518804
1095585912.0,,,,,,,
2823620637,0.09360841931572118,4.4,2.7,2.5,3.2,0.5697317833219949,0.49505756400804624
292235571,0.0043042404804791,0.3,0.6,0.4,0.3,0.027677698437753848,0.09590276214117437
754020668560306176,0.0021009963244625067,2.1,0.3,1.0,3.9,0.03546593341354506,0.041106740219567735
2769447280,0.026940288992638697,2.9,2.4,0.9,2.0,0.380551857066998,0.28378247513569405
739181714635821056,0.0033536770167744536,0.8,1.3,0.9,1.3,0.08592399976334196,0.07651310672792835
323370646.0,,,,,,,
355568701.0,,,,,,,
4705292989,0.007183846426565749,1.9,1.4,0.8,3.3,0.06783456974919343,0.13802618960216584
376287708,0.06747906081432216,1.3,2.1,1.2,2.5,0.16847316644464133,0.4336774335329319
3139546932,0.008048111281043234,0.6,2.5,1.1,1.1,0.07343326191269153,0.14812070832967303
743181738801762308,0.09360841931572118,1.9,1.7,2.2,1.7,0.32230602190830704,0.49505756400804624
7.812363451676426e+17,,,,,,,
1558530534.0,,,,,,,
516454820,0.0021009963244625067,0.9,0.4,2.2,2.1,0.038503444945083086,0.041106740219567735
407170637.0,,,,,,,
3348017080,0.021041094138717433,1.0,1.6,1.1,1.1,0.12588928944948308,0.25152334764543
703237820190580736,0.16230758351843008,4.6,4.6,4.6,4.6,0.8383531326036774,0.5967761711282766
3327544155,0.007183846426565749,0.4,0.8,0.8,1.7,0.07343326191269153,0.13802618960216584
2804461062,0.0021984408773070953,0.3,0.8,0.5,0.5,0.038503444945083086,0.04447883217419818
7.255003488870973e+17,,,,,,,
3438233080.0,,,,,,,
191151760.0,,,,,,,
115937993,0.0029102973297387607,0.4,1.2,0.7,0.3,0.04918384795249982,0.06565556198004287
751565167461302272,0.0024313661894161103,1.4,0.5,0.9,1.7,0.06263387811083082,0.05202936550695904
2992024035,0.003116817556886547,0.6,2.3,0.4,0.4,0.038503444945083086,0.07089257330076087
7.895131234557583e+17,,,,,,,
306724690,0.0024313661894161103,0.7,0.6,0.6,0.4,0.038503444945083086,0.05202936550695904
4031587103,0.0020139366550120737,0.5,1.0,0.4,0.4,0.045343501437382056,0.037980136466376074
1683378176,0.4158259511579834,3.7,4.5,4.1,3.3,0.6310548366819692,0.7713044789889335
65163562,0.0023079208238384373,0.2,0.4,0.4,0.4,0.045343501437382056,0.04811366570775446
50819883,0.012907437350993261,3.4,1.5,1.6,4.0,0.15685510336103622,0.19466773728450495
60568748,0.0033536770167744536,1.1,0.6,0.6,0.9,0.03546593341354506,0.07651310672792835
731377692,0.0017440333583248883,0.5,0.3,0.4,0.4,0.030068974042493608,0.027614042942260764
1035600342,0.0019358455432931132,0.2,0.3,0.3,0.3,0.023437100509770627,0.03508264339315584
1693839452,0.5319634089641295,4.6,2.9,4.6,4.5,0.7565854729457974,0.8242118832176379
2293453415,0.0018655051726169808,1.2,0.8,0.9,1.5,0.03546593341354506,0.032398754737074244
3021365177.0,,,,,,,
306430607.0,,,,,,,
7.370496214116925e+17,,,,,,,
1945051748,0.0018018679035892223,1.8,0.3,0.4,1.5,0.030068974042493608,0.029913823351421277
2826803575,0.0033536770167744536,4.1,0.4,1.2,3.6,0.13558257714003935,0.07651310672792835
2587322687,0.0023079208238384373,0.8,0.6,0.6,0.6,0.09286695366967546,0.04811366570775446
2374167606.0,,,,,,,
362203182,0.09360841931572118,4.0,1.2,2.9,4.7,0.5274968237537414,0.49505756400804624
2250816598,0.008048111281043234,3.3,1.9,0.7,4.6,0.3412193545017134,0.14812070832967303
3225177071,0.09360841931572118,4.8,2.5,1.3,4.6,0.5905129273413294,0.49505756400804624
793280012338106369,0.007183846426565749,3.8,1.8,0.7,3.9,0.15685510336103622,0.13802618960216584
7.305355150536417e+17,,,,,,,
81691062,0.0021009963244625067,0.2,0.3,0.3,0.2,0.01983296694956421,0.041106740219567735
4257961096,0.0043042404804791,1.5,1.0,1.4,0.5,0.10827700665723966,0.09590276214117437
