created_at,id,retweeted_status.created_at,retweeted_status.id,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.id,retweeted_status.user.screen_name,text,user.followers_count,user.friends_count,user.id,user.screen_name
Tue Nov 08 16:24:03 +0000 2016,796025501953490944,Tue Nov 08 13:01:32 +0000 2016,795974536365744129,946,406828,512,21829541,NRA,RT @NRA: It's #ElectionDay! Go vote and protect your Right to Keep and Bear Arms! #2A #Vote #SavetheSecond https://t.co/Asirrnglwl,131,64,706022607741542400,ande_coach
Tue Nov 08 16:25:18 +0000 2016,796025815641243648,Tue Nov 08 13:01:32 +0000 2016,795974536365744129,947,406830,512,21829541,NRA,RT @NRA: It's #ElectionDay! Go vote and protect your Right to Keep and Bear Arms! #2A #Vote #SavetheSecond https://t.co/Asirrnglwl,24,85,1546333765,nate_pullen
Tue Nov 08 16:25:46 +0000 2016,796025934591750144,Tue Nov 08 13:01:32 +0000 2016,795974536365744129,948,406830,512,21829541,NRA,RT @NRA: It's #ElectionDay! Go vote and protect your Right to Keep and Bear Arms! #2A #Vote #SavetheSecond https://t.co/Asirrnglwl,340,506,786596529796739072,ninjazeebs
Tue Nov 08 16:28:32 +0000 2016,796026630816854016,Tue Nov 08 13:01:32 +0000 2016,795974536365744129,951,406831,512,21829541,NRA,RT @NRA: It's #ElectionDay! Go vote and protect your Right to Keep and Bear Arms! #2A #Vote #SavetheSecond https://t.co/Asirrnglwl,25209,8456,40144113,Suntan48
Tue Nov 08 16:30:53 +0000 2016,796027221966225408,Tue Nov 08 13:01:32 +0000 2016,795974536365744129,955,406831,512,21829541,NRA,RT @NRA: It's #ElectionDay! Go vote and protect your Right to Keep and Bear Arms! #2A #Vote #SavetheSecond https://t.co/Asirrnglwl,8069,4943,1064203465,tymadisonmom
Tue Nov 08 16:31:01 +0000 2016,796027255294226432,Tue Nov 08 13:01:32 +0000 2016,795974536365744129,957,406831,512,21829541,NRA,RT @NRA: It's #ElectionDay! Go vote and protect your Right to Keep and Bear Arms! #2A #Vote #SavetheSecond https://t.co/Asirrnglwl,2808,4327,612797711,penn50w
Tue Nov 08 16:32:28 +0000 2016,796027620232196096,Tue Nov 08 13:01:32 +0000 2016,795974536365744129,960,406831,512,21829541,NRA,RT @NRA: It's #ElectionDay! Go vote and protect your Right to Keep and Bear Arms! #2A #Vote #SavetheSecond https://t.co/Asirrnglwl,2683,3840,2398047932,HRCforJail
Tue Nov 08 16:34:51 +0000 2016,796028220537769984,Tue Nov 08 13:01:32 +0000 2016,795974536365744129,962,406832,512,21829541,NRA,RT @NRA: It's #ElectionDay! Go vote and protect your Right to Keep and Bear Arms! #2A #Vote #SavetheSecond https://t.co/Asirrnglwl,859,577,2494013124,Gitte35
Tue Nov 08 16:34:55 +0000 2016,796028237335797760,Tue Nov 08 13:01:32 +0000 2016,795974536365744129,965,406834,512,21829541,NRA,RT @NRA: It's #ElectionDay! Go vote and protect your Right to Keep and Bear Arms! #2A #Vote #SavetheSecond https://t.co/Asirrnglwl,28,100,3317945875,GutInstinct1776
Tue Nov 08 16:34:56 +0000 2016,796028241458974720,Tue Nov 08 13:01:32 +0000 2016,795974536365744129,966,406832,512,21829541,NRA,RT @NRA: It's #ElectionDay! Go vote and protect your Right to Keep and Bear Arms! #2A #Vote #SavetheSecond https://t.co/Asirrnglwl,15,138,2794734771,scmoser88
