user_id,cap,content_score,friend_score,network_score,sentiment_score,english_score,universal_score
39483303.0,,,,,,,
757220239453061120,0.008048111281043234,3.2,2.0,2.7,3.4,0.12588928944948308,0.14812070832967303
860665718,0.005213309669283597,1.3,1.5,1.6,2.1,0.07343326191269153,0.11116719108518804
36106531.0,,,,,,,
7.795700650123182e+17,,,,,,,
783494805221441536,0.11693596663244112,2.5,2.9,1.6,2.0,0.22180647190550215,0.5361761477678701
89015115.0,,,,,,,
2555807096,0.003940623559956331,2.2,1.0,2.2,3.3,0.06263387811083082,0.08899515596679244
7.512494104121262e+17,,,,,,,
754593649376186368,0.005213309669283597,0.7,0.7,2.3,0.4,0.1807672693005155,0.11116719108518804
218377052,0.003116817556886547,0.6,0.5,0.8,0.6,0.03546593341354506,0.07089257330076087
1868692944,0.38545888128841016,3.2,1.6,3.8,3.7,0.7238002465135849,0.7564524646655568
1365560414.0,,,,,,,
776072966345854976,0.030450444848239933,2.0,0.8,0.5,1.0,0.19374947883382485,0.300816711527256
3761468116.0,,,,,,,
1690914043,0.023811568542435598,3.2,2.7,1.4,3.1,0.23688377651035014,0.26734400306340506
2933564586,0.0033536770167744536,1.1,0.9,0.6,1.7,0.08592399976334196,0.07651310672792835
773881713843904512,0.008048111281043234,4.3,1.9,1.9,3.9,0.14589765727494236,0.14812070832967303
751552860303683584,0.35515431108103784,0.3,2.2,0.6,0.4,0.4848645828256039,0.7409598586102422
402167290,0.0043042404804791,0.8,0.6,1.1,0.7,0.06263387811083082,0.09590276214117437
319839440,0.04861529098537897,2.5,1.7,3.5,3.6,0.42151725890598224,0.3742667881821624
41819861,0.01859922727344653,2.2,1.0,1.5,1.0,0.10030935716061677,0.23633691139538376
7.118322026490348e+17,,,,,,,
2853379369.0,,,,,,,
529832847,0.009037049400998034,3.4,2.1,3.3,4.3,0.25265321740844954,0.15881746424200632
3279690919,0.011448498001345467,2.9,1.9,3.2,2.1,0.10030935716061677,0.18207903130928815
531477359,0.03435849422907052,4.1,2.4,1.9,3.7,0.36065190656573104,0.3184188561317807
3182041184,0.0033536770167744536,1.6,0.8,2.8,3.0,0.1167953743919475,0.07651310672792835
784302968136880129,0.005213309669283597,2.2,0.8,1.1,0.9,0.10827700665723966,0.11116719108518804
350334606,0.030450444848239933,0.3,2.2,2.2,0.7,0.08592399976334196,0.300816711527256
1467850530,0.026940288992638697,0.6,0.8,2.2,1.5,0.14589765727494236,0.28378247513569405
785504344238096385,0.008048111281043234,0.6,1.6,0.8,0.6,0.07343326191269153,0.14812070832967303
4884052625,0.0043042404804791,1.0,1.0,1.3,1.0,0.19374947883382485,0.09590276214117437
382000025.0,,,,,,,
2204153940,0.09360841931572118,3.6,1.7,1.5,3.6,0.7238002465135849,0.49505756400804624
2859834039,0.0033536770167744536,0.7,0.4,0.9,0.6,0.07343326191269153,0.07651310672792835
276585326.0,,,,,,,
709125840,0.11693596663244112,3.8,2.7,3.5,4.5,0.6506901031179089,0.5361761477678701
7.704499223950787e+17,,,,,,,
4502524513,0.003626193494014071,3.0,0.6,0.4,2.6,0.03546593341354506,0.0825396626774012
760546878110838784,0.008048111281043234,0.9,1.6,0.9,0.8,0.10827700665723966,0.14812070832967303
574374558,0.012907437350993261,1.1,1.6,1.0,1.1,0.16847316644464133,0.19466773728450495
2456117977,0.006431292840898396,0.5,0.7,1.9,0.3,0.13558257714003935,0.1285158337598371
437996973,0.002571043998532308,1.7,0.6,1.8,0.8,0.03546593341354506,0.05624491210051878
14628108,0.0023079208238384373,0.6,0.6,0.5,0.3,0.03546593341354506,0.04811366570775446
789991492282621953,0.47530138941405353,3.8,3.2,1.3,4.1,0.7405291005715704,0.7990584410047699
787798834608865284,0.5856427244085384,1.5,0.8,2.1,3.4,0.8964140695210783,0.8468202684509261
1152600211,0.005778300973814037,0.5,1.0,1.5,1.3,0.045343501437382056,0.11956986651967942
704303044662439936,0.05430460982015838,4.0,1.3,1.3,1.9,0.3412193545017134,0.393746460000491
7.903514745849078e+17,,,,,,,
785336611592699905,0.012907437350993261,3.4,1.1,2.5,4.7,0.46359219069702307,0.19466773728450495
177092966,0.24446254495086733,1.0,3.5,2.0,0.7,0.40086139116347386,0.6729387518017023
761360576031420416,0.006431292840898396,3.4,1.6,1.3,1.2,0.19374947883382485,0.1285158337598371
482528806,0.010164988287386762,0.3,0.5,0.6,0.2,0.038503444945083086,0.1701324265302999
741201901501489152,0.0033536770167744536,0.8,0.9,0.9,0.8,0.1167953743919475,0.07651310672792835
2229229510,0.012907437350993261,2.2,2.6,2.0,1.1,0.36065190656573104,0.19466773728450495
1669033376,0.0021009963244625067,1.1,0.7,0.8,0.5,0.045343501437382056,0.041106740219567735
27987027,0.008048111281043234,0.3,1.0,0.5,0.4,0.05333128056896264,0.14812070832967303
518931890,0.003116817556886547,1.6,1.7,0.6,0.8,0.045343501437382056,0.07089257330076087
3028665913,0.008048111281043234,1.0,0.9,2.5,1.3,0.10030935716061677,0.14812070832967303
4523716517,0.01645230483113907,0.6,1.7,1.7,0.3,0.3412193545017134,0.22179568769021463
171516677,0.06747906081432216,0.3,1.9,0.4,0.3,0.1807672693005155,0.4336774335329319
7.428232853820908e+17,,,,,,,
792043086209622016,0.008048111281043234,1.3,0.9,1.0,0.6,0.1807672693005155,0.14812070832967303
773464651.0,,,,,,,
266489668.0,,,,,,,
3053302480,0.007183846426565749,0.8,0.9,1.4,0.7,0.09286695366967546,0.13802618960216584
793868302716133381,0.0023079208238384373,0.6,0.9,1.0,0.4,0.05780718298413593,0.04811366570775446
263431193,0.0027296301902785666,0.9,1.8,1.0,0.5,0.07945465272791494,0.06078011352084069
791094754461319168,0.011448498001345467,1.0,2.5,1.3,0.9,0.10030935716061677,0.18207903130928815
531552644.0,,,,,,,
224059152,0.008048111281043234,4.5,1.1,1.2,3.3,0.14589765727494236,0.14812070832967303
952761871.0,,,,,,,
7.946863751780925e+17,,,,,,,
21368516,0.012907437350993261,2.2,1.6,2.3,2.1,0.15685510336103622,0.19466773728450495
3407979981.0,,,,,,,
