created_at,id,retweeted_status.created_at,retweeted_status.id,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.id,text,user.followers_count,user.friends_count,user.id,user.screen_name
Tue Nov 08 15:37:23 +0000 2016,796013755146665985,,,,,,A window into her soul: watch for SHOCKING details on how @HillaryClinton got off a child rapist. @KathyShelton_… https://t.co/GsKKWFdNtM,376029,4231,91882544,DineshDSouza
Tue Nov 08 15:37:39 +0000 2016,796013825694650369,Tue Nov 08 15:37:23 +0000 2016,796013755146665985,1,376029,91882544,"RT @DineshDSouza: A window into her soul: watch for SHOCKING details on how @HillaryClinton got off a child rapist. @KathyShelton_… ",3862,10,3006375111,hotvideotweets
Tue Nov 08 15:37:41 +0000 2016,796013833278078976,Tue Nov 08 15:37:23 +0000 2016,796013755146665985,2,376029,91882544,"RT @DineshDSouza: A window into her soul: watch for SHOCKING details on how @HillaryClinton got off a child rapist. @KathyShelton_… ",841,519,476488934,catpiasente
Tue Nov 08 15:37:45 +0000 2016,796013850751418368,Tue Nov 08 15:37:23 +0000 2016,796013755146665985,3,376029,91882544,"RT @DineshDSouza: A window into her soul: watch for SHOCKING details on how @HillaryClinton got off a child rapist. @KathyShelton_… ",1444,1950,779563097237303296,2braptuedbyJC77
Tue Nov 08 15:37:45 +0000 2016,796013851066109956,Tue Nov 08 15:37:23 +0000 2016,796013755146665985,3,376029,91882544,"RT @DineshDSouza: A window into her soul: watch for SHOCKING details on how @HillaryClinton got off a child rapist. @KathyShelton_… ",57,223,115223942,Kathleenstweet
Tue Nov 08 15:37:46 +0000 2016,796013852408369152,Tue Nov 08 15:37:23 +0000 2016,796013755146665985,5,376029,91882544,"RT @DineshDSouza: A window into her soul: watch for SHOCKING details on how @HillaryClinton got off a child rapist. @KathyShelton_… ",266,392,703535000927526913,pd1940
Tue Nov 08 15:37:48 +0000 2016,796013859651756033,Tue Nov 08 15:37:23 +0000 2016,796013755146665985,6,376030,91882544,"RT @DineshDSouza: A window into her soul: watch for SHOCKING details on how @HillaryClinton got off a child rapist. @KathyShelton_… ",99,178,350334606,Linda__Idaho
Tue Nov 08 15:37:50 +0000 2016,796013870565486593,Tue Nov 08 15:37:23 +0000 2016,796013755146665985,7,376030,91882544,"RT @DineshDSouza: A window into her soul: watch for SHOCKING details on how @HillaryClinton got off a child rapist. @KathyShelton_… ",37,253,2739002980,miket8925
Tue Nov 08 15:37:53 +0000 2016,796013880841539584,Tue Nov 08 15:37:23 +0000 2016,796013755146665985,8,376030,91882544,"RT @DineshDSouza: A window into her soul: watch for SHOCKING details on how @HillaryClinton got off a child rapist. @KathyShelton_… ",54,103,380052786,cmrdu
Tue Nov 08 15:37:53 +0000 2016,796013881516838912,Tue Nov 08 15:37:23 +0000 2016,796013755146665985,9,376030,91882544,"RT @DineshDSouza: A window into her soul: watch for SHOCKING details on how @HillaryClinton got off a child rapist. @KathyShelton_… ",120,145,760417451708444672,babykins2016
Tue Nov 08 15:37:56 +0000 2016,796013893810352132,Tue Nov 08 15:37:23 +0000 2016,796013755146665985,10,376030,91882544,"RT @DineshDSouza: A window into her soul: watch for SHOCKING details on how @HillaryClinton got off a child rapist. @KathyShelton_… ",25,59,489975608,dawnschutte5
Tue Nov 08 15:37:58 +0000 2016,796013903427813376,Tue Nov 08 15:37:23 +0000 2016,796013755146665985,11,376030,91882544,"RT @DineshDSouza: A window into her soul: watch for SHOCKING details on how @HillaryClinton got off a child rapist. @KathyShelton_… ",592,180,712257987520372736,1proudamcitizen
