Time Difference,user.screen_name,Column1
0 days 03:29:00.000000000,girln1Dog,5
0 days 01:04:24.000000000,girln1Dog,5
0 days 01:10:38.000000000,girln1Dog,5
0 days 04:08:26.000000000,HollyW81333596,5
0 days 03:30:36.000000000,HollyW81333596,5
0 days 01:47:04.000000000,HollyW81333596,5
0 days 03:50:14.000000000,HollyW81333596,5
0 days 01:13:01.000000000,HollyW81333596,5
0 days 08:35:10.000000000,jewel722,5
0 days 01:31:09.000000000,jewel722,5
0 days 00:55:13.000000000,jewel722,5
0 days 01:48:41.000000000,jewel722,5
0 days 08:35:10.000000000,jewel722,5
0 days 01:02:32.000000000,jmwilkins2013,5
0 days 02:13:59.000000000,jmwilkins2013,5
0 days 01:38:28.000000000,jmwilkins2013,5
0 days 01:25:10.000000000,jmwilkins2013,5
0 days 01:02:32.000000000,jmwilkins2013,5
0 days 00:40:19.000000000,Jokuhehe,5
0 days 00:28:57.000000000,Jokuhehe,5
0 days 00:44:47.000000000,Jokuhehe,5
0 days 00:29:56.000000000,Jokuhehe,5
0 days 00:40:19.000000000,Jokuhehe,5
0 days 00:46:59.000000000,Kellydanes1,5
0 days 03:17:58.000000000,Kellydanes1,5
0 days 00:02:54.000000000,Kellydanes1,5
0 days 00:39:46.000000000,Kellydanes1,5
0 days 00:46:59.000000000,Kellydanes1,5
0 days 00:16:12.000000000,KeoniGohan,5
0 days 05:47:18.000000000,KeoniGohan,5
0 days 05:01:39.000000000,KeoniGohan,5
0 days 02:39:41.000000000,KeoniGohan,5
0 days 00:16:12.000000000,KeoniGohan,5
0 days 00:37:41.000000000,llamas_78,5
0 days 00:44:12.000000000,llamas_78,5
0 days 03:37:05.000000000,llamas_78,5
0 days 00:37:41.000000000,llamas_78,5
0 days 00:44:12.000000000,llamas_78,5
0 days 01:53:38.000000000,Mich4Trump,5
0 days 08:22:20.000000000,Mich4Trump,5
0 days 03:38:04.000000000,Mich4Trump,5
0 days 00:11:00.000000000,Mich4Trump,5
0 days 01:53:38.000000000,Mich4Trump,5
0 days 00:06:25.000000000,mike_cothran,5
0 days 00:06:25.000000000,mike_cothran,5
0 days 00:04:06.000000000,mike_cothran,5
0 days 00:06:25.000000000,mike_cothran,5
0 days 00:06:25.000000000,mike_cothran,5
0 days 00:49:20.000000000,MyPlace4U,5
0 days 00:54:28.000000000,MyPlace4U,5
0 days 01:13:23.000000000,MyPlace4U,5
0 days 00:49:20.000000000,MyPlace4U,5
0 days 00:54:28.000000000,MyPlace4U,5
0 days 00:39:09.000000000,nochangeplease,5
