created_at,id,retweeted_status.created_at,retweeted_status.id,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.id,retweeted_status.user.screen_name,text,user.followers_count,user.friends_count,user.id,user.screen_name
Tue Nov 08 12:52:50 +0000 2016,795972347903746048,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,61,24726,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",29128,15437,1400943320,DebAlwaystrump
Tue Nov 08 12:53:12 +0000 2016,795972438974726146,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,62,24727,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",585,644,2971785375,wildwildwes55
Tue Nov 08 12:53:15 +0000 2016,795972451410657280,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,63,24727,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",1200,1934,9945242,randy_nacol2002
Tue Nov 08 12:53:22 +0000 2016,795972481001619456,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,64,24728,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",104,149,4505848156,Rosko311
Tue Nov 08 12:53:24 +0000 2016,795972489901965313,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,65,24728,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",5532,5692,580975146,bcass41447
Tue Nov 08 12:53:39 +0000 2016,795972551159713792,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,66,24730,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",383,293,601019861,JuanitaBurrows
Tue Nov 08 12:53:39 +0000 2016,795972552917139456,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,67,24730,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",738,671,813442106,MitSnyder
Tue Nov 08 12:53:43 +0000 2016,795972569061093380,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,69,24730,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",298,266,297751435,BrittneyColey
Tue Nov 08 12:53:43 +0000 2016,795972570449379328,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,70,24730,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",1653,1536,708024933264318464,ReaganGood1st
Tue Nov 08 12:54:01 +0000 2016,795972643182825472,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,71,24731,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",1648,1951,556180314,NavaG72
