created_at,id,retweeted_status.created_at,Source,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.id,retweeted_status.user.screen_name,user.followers_count,user.friends_count,user.id,user.screen_name,Time Difference,Weight,size,Target
12:11:21,795961905936474112,12:09:29,7.95961436279337e+17,26.0,444148.0,304.0,213478296.0,UzoAduba,685,506,1126806278,kyn_metcalf,0 days 00:01:52.000000000,77.14285714285714,1.3537549407114624,795961905936474112
12:11:22,795961911540060160,12:09:29,7.95961436279337e+17,27.0,444148.0,304.0,213478296.0,UzoAduba,285,264,20438563,PriscilaGfm,0 days 00:01:53.000000000,76.46017699115045,1.0795454545454546,795961911540060160
12:11:25,795961924315938816,12:09:29,7.95961436279337e+17,28.0,444148.0,304.0,213478296.0,UzoAduba,1409,2502,19867477,shreec,0 days 00:01:56.000000000,74.48275862068967,0.5631494804156675,795961924315938816
12:11:27,795961930431270912,12:09:29,7.95961436279337e+17,29.0,444148.0,304.0,213478296.0,UzoAduba,1092,2291,336221131,Aquinas18,0 days 00:01:58.000000000,73.22033898305085,0.47664775207333043,795961930431270912
12:11:35,795961965847855104,12:09:29,7.95961436279337e+17,30.0,444145.0,304.0,213478296.0,UzoAduba,901,787,450181943,TheReddestRose,0 days 00:02:06.000000000,68.57142857142857,1.144853875476493,795961965847855104
12:11:37,795961972491685888,12:09:29,7.95961436279337e+17,31.0,444148.0,304.0,213478296.0,UzoAduba,20207,2058,15676413,hels,0 days 00:02:08.000000000,67.5,9.818756073858115,795961972491685888
12:11:46,795962009946877956,12:09:29,7.95961436279337e+17,32.0,444148.0,304.0,213478296.0,UzoAduba,269,757,14895039,megmarcus,0 days 00:02:17.000000000,63.065693430656935,0.35535006605019814,795962009946877956
12:11:46,795962011326836737,12:09:29,7.95961436279337e+17,33.0,444148.0,304.0,213478296.0,UzoAduba,451,886,17090710,blivi,0 days 00:02:17.000000000,63.065693430656935,0.5090293453724605,795962011326836737
12:11:50,795962028292734977,12:09:29,7.95961436279337e+17,34.0,444148.0,304.0,213478296.0,UzoAduba,14,19,754875241285971968,nadnerb19,0 days 00:02:21.000000000,61.27659574468085,0.7368421052631579,795962028292734977
12:11:57,795962058986704897,12:09:29,7.95961436279337e+17,35.0,444148.0,304.0,213478296.0,UzoAduba,10183,1035,28632611,LesbianLounge,0 days 00:02:28.000000000,58.37837837837837,9.83864734299517,795962058986704897
12:12:27,795962184782278656,12:09:29,7.95961436279337e+17,36.0,444148.0,304.0,213478296.0,UzoAduba,118,201,4352899163,aviks_,0 days 00:02:58.000000000,48.53932584269663,0.5870646766169154,795962184782278656
12:12:36,795962219615895552,12:09:29,7.95961436279337e+17,37.0,444148.0,304.0,213478296.0,UzoAduba,274,368,2871157858,c_wjack,0 days 00:03:07.000000000,46.20320855614973,0.7445652173913043,795962219615895552
12:12:40,795962237374500865,12:09:29,7.95961436279337e+17,38.0,444145.0,304.0,213478296.0,UzoAduba,7624,1011,44326160,shihoe,0 days 00:03:11.000000000,45.23560209424083,7.541048466864491,795962237374500865
12:12:41,795962243229818881,12:09:29,7.95961436279337e+17,39.0,444148.0,304.0,213478296.0,UzoAduba,846,2161,345561708,crjsoul42,0 days 00:03:12.000000000,45.0,0.39148542341508563,795962243229818881
12:12:42,795962245389881348,12:09:29,7.95961436279337e+17,40.0,444148.0,304.0,213478296.0,UzoAduba,501,567,318622408,ainemagu,0 days 00:03:13.000000000,44.766839378238345,0.8835978835978836,795962245389881348
12:12:43,795962249433272320,12:09:29,7.95961436279337e+17,41.0,444148.0,304.0,213478296.0,UzoAduba,401,313,22187469,niknak_11,0 days 00:03:14.000000000,44.5360824742268,1.281150159744409,795962249433272320
12:13:08,795962355330842624,12:09:29,7.95961436279337e+17,43.0,444145.0,304.0,213478296.0,UzoAduba,26552,25167,421417889,EDGARDOGARCIASA,0 days 00:03:39.000000000,39.45205479452055,1.0550323836770374,795962355330842624
12:13:16,795962388214267904,12:09:29,7.95961436279337e+17,44.0,444145.0,304.0,213478296.0,UzoAduba,387,497,2834457902,angellbot,0 days 00:03:47.000000000,38.06167400881057,0.778672032193159,795962388214267904
12:13:16,795962390441558016,12:09:29,7.95961436279337e+17,45.0,444148.0,304.0,213478296.0,UzoAduba,320,1248,64052656,brytonaltemose,0 days 00:03:47.000000000,38.06167400881057,0.2564102564102564,795962390441558016
12:13:24,795962421500407808,12:09:29,7.95961436279337e+17,46.0,444148.0,304.0,213478296.0,UzoAduba,554,599,2466551444,Rayshay7,0 days 00:03:55.000000000,36.765957446808514,0.9248747913188647,795962421500407808
12:13:27,795962436939612160,12:09:29,7.95961436279337e+17,47.0,444148.0,304.0,213478296.0,UzoAduba,362,391,41700934,brie_robles,0 days 00:03:58.000000000,36.30252100840336,0.9258312020460358,795962436939612160
12:13:36,795962473098649601,12:09:29,7.95961436279337e+17,48.0,444148.0,304.0,213478296.0,UzoAduba,309,613,1519966387,Yankizayties,0 days 00:04:07.000000000,34.97975708502024,0.5040783034257749,795962473098649601
12:13:40,795962488462409728,12:09:29,7.95961436279337e+17,49.0,444148.0,304.0,213478296.0,UzoAduba,424,1389,1873255454,trash_zamo,0 days 00:04:11.000000000,34.42231075697211,0.3052555795536357,795962488462409728
12:13:48,795962524164358144,12:09:29,7.95961436279337e+17,52.0,444148.0,304.0,213478296.0,UzoAduba,257,468,415539465,HayleyJoyIrving,0 days 00:04:19.000000000,33.359073359073356,0.5491452991452992,795962524164358144
12:14:01,795962579361431554,12:09:29,7.95961436279337e+17,53.0,444148.0,304.0,213478296.0,UzoAduba,193,604,910070492,tony_mt386502,0 days 00:04:32.000000000,31.76470588235294,0.3195364238410596,795962579361431554
12:14:15,795962637142097920,12:09:29,7.95961436279337e+17,54.0,444148.0,304.0,213478296.0,UzoAduba,307,476,242714567,kate_johnsen,0 days 00:04:46.000000000,30.209790209790206,0.6449579831932774,795962637142097920
12:14:22,795962665155829760,12:09:29,7.95961436279337e+17,55.0,444149.0,304.0,213478296.0,UzoAduba,18,146,161781880,alcedinos,0 days 00:04:53.000000000,29.488054607508538,0.1232876712328767,795962665155829760
12:14:24,795962675247411200,12:09:29,7.95961436279337e+17,56.0,444149.0,304.0,213478296.0,UzoAduba,640,765,198211268,crombee,0 days 00:04:55.000000000,29.288135593220336,0.8366013071895425,795962675247411200
12:14:54,795962801776984064,12:09:29,7.95961436279337e+17,57.0,444150.0,304.0,213478296.0,UzoAduba,3816,2089,21765882,HithaPalepu,0 days 00:05:25.000000000,26.584615384615386,1.8267113451412158,795962801776984064
12:15:01,795962829480296448,12:09:29,7.95961436279337e+17,58.0,444150.0,304.0,213478296.0,UzoAduba,541,396,124851528,JnLcGrmn,0 days 00:05:32.000000000,26.02409638554217,1.3661616161616161,795962829480296448
12:15:19,795962904554024961,12:09:29,7.95961436279337e+17,59.0,444147.0,304.0,213478296.0,UzoAduba,179,251,199231400,amybrticevich,0 days 00:05:50.000000000,24.685714285714287,0.7131474103585658,795962904554024961
12:15:33,795962962737557504,12:09:29,7.95961436279337e+17,60.0,444150.0,304.0,213478296.0,UzoAduba,1298,2093,118125355,Soy_Christo_,0 days 00:06:04.000000000,23.736263736263737,0.6201624462494028,795962962737557504
12:15:46,795963020321189888,12:09:29,7.95961436279337e+17,61.0,444150.0,304.0,213478296.0,UzoAduba,153,540,769674173685702656,CreoleBeautyLyn,0 days 00:06:17.000000000,22.917771883289124,0.2833333333333333,795963020321189888
12:15:50,795963036997664769,12:09:29,7.95961436279337e+17,62.0,444150.0,304.0,213478296.0,UzoAduba,350,269,55401122,jimb00zle,0 days 00:06:21.000000000,22.67716535433071,1.3011152416356877,795963036997664769
