Time Difference,user.screen_name
0 days 00:36:48.000000000,sbayley
0 days 00:37:27.000000000,MisterBlok
0 days 00:37:31.000000000,Kriegar
0 days 00:38:02.000000000,nla456
0 days 00:38:40.000000000,oracaires
0 days 00:39:25.000000000,JM2742
0 days 00:40:10.000000000,Cfc_Craig
0 days 00:40:18.000000000,noddy2795
0 days 00:40:26.000000000,SkittyBee
0 days 00:41:05.000000000,dannisahamidi
0 days 00:41:27.000000000,dstarr484
0 days 00:41:31.000000000,Mosesbasket
0 days 00:41:35.000000000,KateES89
0 days 00:41:57.000000000,Lotsofluvlynae
0 days 00:43:20.000000000,IainMcdon
0 days 00:44:01.000000000,AshXx_habiba
0 days 00:44:06.000000000,donadmclachlan
0 days 00:44:32.000000000,arnoldlayne1882
0 days 00:44:41.000000000,Shurretep
0 days 00:45:11.000000000,FKhan145
0 days 00:45:20.000000000,xprs1self
0 days 00:45:50.000000000,OhJust_Chris
0 days 00:46:52.000000000,1ideaatatime
0 days 00:47:45.000000000,archiemendez
0 days 00:48:36.000000000,AnnaMiddlemiss2
0 days 00:48:54.000000000,MasterNefezy
0 days 00:49:06.000000000,JulietMEvans
0 days 00:49:37.000000000,kingdaved
0 days 00:49:38.000000000,angief310
0 days 00:49:49.000000000,injiduducu
0 days 00:51:08.000000000,FaradayForever
0 days 00:51:09.000000000,detemple
0 days 00:52:07.000000000,Larry_0va
0 days 00:53:52.000000000,tkellyaddicted
0 days 00:55:06.000000000,philrs
0 days 00:55:52.000000000,littlerobbergrl
0 days 00:57:07.000000000,RossKittens
0 days 00:58:10.000000000,BeamaBeorg
0 days 00:58:42.000000000,Keep_It_Real_95
0 days 00:58:44.000000000,JohnTwelvetrees
0 days 01:01:17.000000000,DrEmanuelBorges
0 days 01:01:54.000000000,connorwebster98
0 days 01:02:05.000000000,sarahadcock1979
0 days 01:04:27.000000000,SandraDunn1955
0 days 01:04:52.000000000,FluerduJardin
0 days 01:07:23.000000000,neulandmama
0 days 01:07:52.000000000,SiJEN7
0 days 01:08:15.000000000,shabbirtipu
0 days 01:09:29.000000000,Mike_Kelly7
0 days 01:10:39.000000000,Miss_Nav_M
0 days 01:10:43.000000000,Im_No_Troll42
0 days 01:14:45.000000000,rogerklingman
0 days 01:14:50.000000000,LizofMuesliHill
0 days 01:16:10.000000000,GKBhambra
0 days 01:16:16.000000000,4_the_babies
0 days 01:18:18.000000000,skepticsmash
0 days 01:26:23.000000000,blustarnation
0 days 01:28:07.000000000,tonypickett
0 days 01:29:37.000000000,DrMikeBDS
0 days 01:31:49.000000000,yaekle
0 days 01:33:05.000000000,MiguelSFq1
0 days 01:33:07.000000000,modes98
0 days 01:35:06.000000000,bmjpm
0 days 01:38:20.000000000,JoRgEg69
0 days 01:41:40.000000000,Juukebox
0 days 01:41:56.000000000,ChaCommeUnChat
