Folder,Retweet Count,Time Difference,Estimated Time,Total Retweeted,Retweeted Followers
data1026,4,0 days 00:00:18.000000000,4.5,1090,274132
data1028,3,0 days 00:00:22.000000000,7.333333333,2407,593461
data1048,3.0,0 days 00:00:12.000000000,4.0,4448.0,212895.0
data1050,3.0,0 days 00:00:46.000000000,15.333333333,1287.0,266228.0
data1056,3.0,0 days 00:00:33.000000000,11.0,1297.0,31407.0
data1083,2,0 days 00:00:40.000000000,20.0,1544,1186
data1125,2.0,0 days 00:00:07.000000000,3.5,79092.0,812753.0
data1181,4,0 days 00:00:14.000000000,3.5,1158,17586
